,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,Array_23,Array_24,Array_25,Array_26,Array_27,Array_28,Array_29,Array_30,Array_31,Array_32,Array_33,Array_34,Array_35,Array_36,Array_37,Array_38,Array_39,Array_40,Array_41,Array_42,Array_43,Array_44,Array_45,Array_46,Array_47,Array_48,Array_49,Array_50,Array_51,Array_52,Array_53,Array_54,Array_55,Array_56,Array_57,Array_58,Array_59,Array_60,Array_61,Array_62,Array_63,Array_64,Array_65,Array_66,Array_67,Array_68,Array_69,Array_70,Array_71,Array_72,Array_73,Array_74,Array_75,Array_76,Array_77,Array_78,Array_79,Array_80,Array_81,Array_82,Array_83,Array_84,Array_85,Array_86,Array_87,Array_88,Array_89,Array_90,Array_91,Array_92,Array_93,Array_94,Array_95,Array_96,Array_97,Array_98,Array_99,Array_100,Array_101,Array_102,Array_103,Array_104,Array_105
rno04014__47 49,0.189073983899565,0.191988253651521,0.187000540422361,0.196931965926754,0.203795368283387,0.191485513042031,0.200544380407201,0.187954538089037,0.189368273184723,0.199478979773757,0.198803204841837,0.20145440132311,0.200010369916948,0.197813172163032,0.199995883961574,0.200687902331151,0.195459364978038,0.204315282551574,0.195762873853358,0.199373376350729,0.197263605128208,0.201549553630049,0.205570340663482,0.196348242996307,0.197770949877156,0.192627631458576,0.188155523029584,0.189905961076001,0.195234829790963,0.19705241066693,0.198153251316763,0.193811291455024,0.200169478606733,0.201695852006262,0.203707755535601,0.205864082420357,0.202531277110413,0.1952110444531,0.193753893328777,0.203410996548205,0.194978192022821,0.221145425751995,0.199538903256912,0.196273435950835,0.190960211312073,0.200618748533674,0.196253895363425,0.196413893587301,0.201044432940322,0.19554575294391,0.19754824282992,0.18178896691431,0.194084847524637,0.198974251176021,0.192838057854404,0.19100327882642,0.182387913713279,0.190828551973516,0.198648695816751,0.192451959734754,0.193097771983417,0.199743641150325,0.196248426373152,0.190858817260061,0.192939710699177,0.196939759219799,0.187885610242855,0.194985800857795,0.189419581065889,0.204389705401984,0.195467806678628,0.190181824739848,0.204101603522165,0.194362314130561,0.196321225368676,0.191225316590192,0.185282243085639,0.190310330656276,0.191659220947088,0.198758027157278,0.196655506669251,0.196313882337768,0.192575535357327,0.187582200251864,0.183569339831498,0.190128432996459,0.198676486087071,0.188166736867344,0.20237544844329,0.195126503916475,0.192945028319618,0.20336820988291,0.2001906529015,0.197035811837716,0.18123504847252,0.173885017434822,0.20032602219982,0.194633159917231,0.198656947997194,0.192680736219427,0.187139022253711,0.190953069841001,0.19993909623053,0.183814637091923,0.197310405786475
rno04014__42,0.0343381151883491,0.0322258169458016,0.0331568798831886,0.0301487700599071,0.0318636593143449,0.0308753264975273,0.0323824544985701,0.0340413980744924,0.0323010135491429,0.0313866746759595,0.0317852560856976,0.0289423963872733,0.0299715454698368,0.032356112026801,0.0305588575622996,0.0303799163875934,0.0300724808081746,0.0326041078454428,0.029978438922506,0.0352593966618936,0.0338199793138854,0.0327905301552183,0.0338197841560062,0.0311826377153151,0.0297072129342871,0.0291462051386341,0.0321904828266619,0.0322063087061242,0.0345054326376916,0.0333960388106334,0.0316237222307696,0.0309553816686821,0.0289821213001651,0.0306590854943024,0.0302004260936871,0.0284923880690834,0.0302700705389663,0.0290804420117989,0.0318385070117285,0.0300777916874875,0.0311492181930514,0.0305532700528621,0.0253282451266095,0.0298171788689887,0.0312592539277862,0.0281847837207267,0.0274708452427344,0.0277747513980479,0.0284346410998371,0.0256975294170031,0.0312823918604602,0.031143479369661,0.0302972733902632,0.029739425621811,0.0293762509013725,0.0324987140165643,0.0291929640215348,0.0345067030196747,0.0305319018174174,0.028527808785956,0.0264824302969902,0.0287156328626771,0.0285158126112538,0.0326404762952131,0.0311599212922281,0.0351499236249256,0.0354281072993641,0.0320027520913376,0.0302274397444697,0.0308463957716094,0.0323782052091869,0.0342502422385262,0.0314043237120391,0.0329372453786607,0.0322009331673859,0.0309847860697169,0.0343670137667827,0.0333916608872987,0.0303350912611344,0.0314149299482946,0.032273720637288,0.0344964318649549,0.0299716864929585,0.0304409702924082,0.031505858857923,0.0286149551780714,0.0309554158830337,0.0329153805317525,0.0319067365138429,0.0325578180737415,0.031684977065057,0.0306452330914349,0.0318005457191212,0.0316477232532086,0.0360599415245839,0.0353876438635799,0.0275099922419252,0.031331477114478,0.0288400558691817,0.0305149584488483,0.0293905829199271,0.0335047098257861,0.0278120971172105,0.0317104076998433,0.0286081976076836
rno04014__43,0.014403269616982,0.0136812122320163,0.0133568972188375,0.0118015562083074,0.0115351357461802,0.0131860287778235,0.0146998107195442,0.01461075365852,0.0129776515730568,0.0119755257229525,0.0128183295144445,0.0112703910978564,0.0114775642982235,0.0130135030533759,0.0118104616036164,0.0117351810940243,0.0126291134818604,0.0153368708304519,0.0125476194407289,0.0169148341583345,0.0152001769160057,0.0149078353795216,0.0145338893890858,0.01322633431353,0.0115146786853039,0.0125584510087891,0.012790506019616,0.0134570331054602,0.0131450116725084,0.0137588788629855,0.0130737306701566,0.0116320651021554,0.0110776680607219,0.0123712887071138,0.0112002265329852,0.0113124530099301,0.0123667739295489,0.00992358498293302,0.0133778702418481,0.0119594527938691,0.0123808729581686,0.0133834204461687,0.0109766458934732,0.0125703258451123,0.0144010088035836,0.0123466833318047,0.0110640425535949,0.0110898367797847,0.0118322922449983,0.0116952648490814,0.013466617038633,0.0131826092502604,0.013054048245747,0.0124577404607618,0.012028492109125,0.0131072470775144,0.0123091512324314,0.0135689152500205,0.0138893418479342,0.0116652654203663,0.0120131025353663,0.0127065346016388,0.0113844299860885,0.0124587237414534,0.013639248980506,0.0143669993663662,0.0135769375806268,0.0124042723297583,0.0136903252171897,0.0129276351710255,0.0137782507929903,0.0159011387494334,0.0123004633019568,0.0133286209537908,0.0122385829823038,0.0138816699297432,0.0154316037260103,0.0147729047374559,0.0138786215048386,0.0129108404560422,0.0134139176236334,0.0124732494271832,0.0129906234412124,0.0125911849048845,0.0132467246456494,0.012784367373891,0.0122369154060291,0.0142103148912213,0.0129997737619862,0.0135508931181197,0.0119277497379392,0.0116813826659487,0.013375766124926,0.0131634267439409,0.0151557841946436,0.0146674020717177,0.0117887665627946,0.0121753370351036,0.0121982416129632,0.0132225428790984,0.0114567603764736,0.0131726545834553,0.0111685646785929,0.0136467827472953,0.013030599437684
rno04014__44,0.0358169982129273,0.0343732844131681,0.0351331032911117,0.0326317420046443,0.0340424814209028,0.0322799744090387,0.0345611073339762,0.0356799649679619,0.0326526342618732,0.0324654810350336,0.0343059750871178,0.0299734204953345,0.030664198835448,0.0344298226595039,0.0323880999216367,0.0320023228241884,0.0319410419343769,0.0412857846192015,0.030181440448684,0.0376769621221568,0.0407543339573985,0.0342978086406173,0.0415286101953718,0.032433778092012,0.0333787773636838,0.0324844263685851,0.0343592782777182,0.0367056493148719,0.0370908873569206,0.0389046114239386,0.0343821568239657,0.0316536311893923,0.0286638492165729,0.0320501647730352,0.0347232127043666,0.0304238826039231,0.0356697159180837,0.0371691121257135,0.0367820415374186,0.0337111427552585,0.0350823616894486,0.0385674727392113,0.0314002065535555,0.0308396915244878,0.0312483556123184,0.0307184465070314,0.0300811193449207,0.0320944674707929,0.0298994029885948,0.0293504064707532,0.0326602862794305,0.0399491535994771,0.0331463681719777,0.0344336506886006,0.0307132665434989,0.033321519796688,0.0307075115799541,0.0403073503977925,0.0311228121878885,0.0316457921919535,0.0296866071641385,0.0310119623325971,0.0296391749905987,0.0425606813569615,0.0318259980954705,0.0371653297881705,0.0412667301075404,0.0359447395902988,0.034231718442953,0.0340820572141848,0.0355031403594201,0.0400905994563384,0.0323346023379804,0.0357756227150222,0.0358090081748176,0.0366845737354053,0.034398820340353,0.0352215084742243,0.0370127660288944,0.0310195224385004,0.031878751475602,0.0346358015607553,0.0383885366232673,0.0306186722999349,0.041053540443868,0.0342310384190228,0.0329593757287863,0.0400383837648345,0.0352791218164029,0.0353657132032986,0.0335378343569104,0.0340767995374448,0.0341960309305908,0.0342564762475862,0.042837684250756,0.0400185547402845,0.0298934692045163,0.0343741900309682,0.0307238429917996,0.0331411291782827,0.0356698246008027,0.036492020532256,0.0309675402890825,0.0353487081706696,0.0332863583057201
rno04014__33,0.241037377931083,0.238903916823179,0.260390089626049,0.229206981298204,0.239007444795496,0.234719020204252,0.239068003642099,0.220462176843057,0.246234094607412,0.242251871231747,0.245656602695696,0.245778716946763,0.228170014264192,0.228538517477761,0.229195610978754,0.233148693279933,0.252374815122374,0.271883913925283,0.242231437569297,0.250310280095004,0.258245994848658,0.254180850712001,0.239754760016906,0.248190052783513,0.244036364871775,0.233888041648335,0.241905781116121,0.245720975128472,0.22848883837858,0.23280007943579,0.238527894731683,0.232494681591582,0.226590801523104,0.227092198642961,0.271284184109529,0.26016951011619,0.278742159418778,0.287147076155253,0.213722153725686,0.234073512584193,0.221402042767816,0.250587091967946,0.215444602837842,0.227992365786148,0.247916962004486,0.238565526482044,0.242601217616576,0.270045686680941,0.250505279373271,0.280921802708519,0.240401232676128,0.260236014486499,0.228448737672068,0.244057946479483,0.240581220408432,0.243023125733482,0.240716092525347,0.273681169210012,0.243510534970007,0.279433231289988,0.224604018867534,0.259877293802042,0.237486334796831,0.242471565496939,0.221716055208527,0.238776736897602,0.272911609821538,0.224280884297971,0.258292135442606,0.24845991905616,0.241225728799959,0.258576627564711,0.258558047298669,0.236044559354148,0.222720979024631,0.251326251333509,0.244660805582393,0.249662479125904,0.21721699479607,0.237351930945788,0.229937864566191,0.234778039220634,0.234518626138103,0.225451860134582,0.255815533720708,0.236510412269909,0.246775423896478,0.249709596729955,0.246340164018105,0.220873464353528,0.254908511591629,0.241729227520373,0.255079115206013,0.2304259503555,0.270669809309907,0.250585980816152,0.212073309693291,0.225791242249926,0.239898349945659,0.235949527760772,0.243082367916246,0.282842962105081,0.226888748443886,0.244434166680057,0.216625586019366
rno04014__35,0.0242124892419151,0.0244926919361207,0.0264067625345687,0.0234279537897583,0.0259153087058285,0.0249832570469553,0.0238015215490842,0.0234537576268997,0.0242844670172748,0.0240570343450135,0.0230308871754168,0.0219494442495244,0.0226910845141822,0.0230012613215406,0.0247558838727533,0.0221807039286204,0.0213853419999378,0.0271193273176226,0.0236147552602931,0.0281000487694718,0.0264425026299348,0.0255596153917469,0.0273916799968668,0.0267918753673217,0.0230761857668534,0.0219893777720676,0.0232215371840529,0.0257156394429562,0.024996994343031,0.0245853976366429,0.0246364926517524,0.0231493991579461,0.0234218855362955,0.0234820393659575,0.0227049890142616,0.020923477345944,0.0244914348835042,0.0235062230842065,0.0266768176043491,0.0246254449857835,0.0233194845198668,0.0271200793951293,0.026291096521757,0.0244015599829958,0.0257589874913515,0.0251746772767101,0.0230430334423846,0.032300048290442,0.0251489221095891,0.0287546935503836,0.0240656098069766,0.0256900442640083,0.0215034586877997,0.0237036072821769,0.0217821300882188,0.0242784322169058,0.0239892974709968,0.0256532159322805,0.0281247380327405,0.028683797069504,0.0220007455180081,0.0231283389403506,0.0238283756956941,0.0282634247785889,0.0284229664907715,0.0246327556176553,0.0278762449461893,0.0262416817893298,0.0239314120241721,0.0251443117911491,0.0238262971701222,0.0277793019185797,0.0260305565258041,0.0257611202887838,0.0260716659237551,0.0248777828771291,0.0257499208287476,0.0241920696462669,0.02641037276886,0.0220322831448584,0.0229682944692394,0.0234350513792889,0.0239832517307776,0.0217928883801543,0.0250688205900985,0.0250639486519901,0.0212317073906663,0.0250952799421475,0.0247252968127758,0.0219923333023063,0.0244156938026974,0.02373820100291,0.0239581562930632,0.0264288900535662,0.0288172970469848,0.0284204653131491,0.0245093350407389,0.0221125272066314,0.0222614909050328,0.023710418299729,0.0252695478844152,0.0238736179653625,0.024502740234987,0.0226861778679382,0.025016317754026
rno04014__37,0.0303717857218526,0.0314120215009378,0.0306462554479467,0.0268988350323378,0.0407134541832968,0.0286035899849726,0.0291394469578058,0.0284226066780671,0.0359952449757855,0.0293340920795559,0.0290938327114261,0.0415748901110929,0.0304215624403168,0.0344561910694877,0.0273696463282805,0.0389514819630996,0.0307080524301135,0.032445762461603,0.0280264966895117,0.0270058356644444,0.0290511024955206,0.025290929783424,0.0358025474658882,0.0378960690047456,0.0344869215709516,0.0314696989497918,0.0358998677486598,0.0285452960339169,0.0377451157014156,0.0318677333739419,0.0293600191033193,0.0304316094584658,0.0371329155550615,0.0354294760482073,0.0310539682294187,0.0339919656091684,0.034080761460757,0.0384261663687645,0.025978375577872,0.0264860149264201,0.0237281733549309,0.0287048534640083,0.0300079269342178,0.0240195223509169,0.0336386424408347,0.0310296090909902,0.0304903209342279,0.0314751300307028,0.0403944978583025,0.0308677747438284,0.0322156257533026,0.02915056024438,0.0305680293576346,0.0220250445828282,0.0287694937838114,0.0317699766777515,0.0343252002146206,0.0373502333881751,0.0288030988997056,0.0321176040334164,0.0288198476689439,0.0223214258701833,0.027594837010575,0.0273983436252685,0.0284463658762899,0.0280505338938047,0.0348560637246901,0.0344862965596769,0.0290953709143951,0.0290780255455256,0.027087255384069,0.0327815867939052,0.0329653446592482,0.0292874364694965,0.0312978471959663,0.0377744285203684,0.0235736521987896,0.027629756494611,0.0305391350580259,0.0267157904880727,0.0388001633831019,0.0284462153692093,0.0274134243317467,0.0293188709977025,0.0237879065189107,0.023024235813684,0.0346812805947919,0.0267381880365204,0.0368864180590908,0.0234847489338385,0.0256573109840023,0.0341416986386224,0.0344628872639905,0.0342260837422186,0.0200514059125325,0.0263834921943929,0.036908405400139,0.0375657056567082,0.0297515865869377,0.0287485036714193,0.0294088698369696,0.030136218860379,0.0314428511851062,0.0263828405447626,0.0278551967034474
rno04014__97,0.0685673494977303,0.0681391144865473,0.0694654767222836,0.0642741786976279,0.0699114633818421,0.0704772194517384,0.0670415335834598,0.0670877255298105,0.0640918815761677,0.0669062970864828,0.0689482773297445,0.0685977619105801,0.0653537003396347,0.0681908839314813,0.073809241951989,0.0708331825799296,0.0658088790277433,0.0732889903606238,0.0646095953845578,0.0786578625871797,0.0795010053948092,0.0744663936585301,0.0771816781701344,0.0748945890175561,0.067247781358097,0.0716908097827875,0.0674433705383595,0.0714967107387581,0.0664469620918617,0.0752024606025034,0.0720716173855741,0.0692072188664668,0.070751573604443,0.0683476941749244,0.0708517410768623,0.0656298236522191,0.0684632261138861,0.0667898969319319,0.0736551318294631,0.0734030454920944,0.0734964677286443,0.0700071592532955,0.0718361345641369,0.0686198659114177,0.0752831275400607,0.0720359444805849,0.0701712321545046,0.0860112501011601,0.0642567694673262,0.0814950928927176,0.0689701511845399,0.0714177865149581,0.0716564619052159,0.0699022877318093,0.0656975086986965,0.0697853068046099,0.0673819945145136,0.0722684974684671,0.0728203113724844,0.084111998055219,0.0618115889101407,0.0670495238667195,0.0658049061837934,0.0725507565017849,0.0750491199921324,0.0678887800106543,0.0776715379363529,0.0657379415069874,0.0650794771068689,0.066280575642965,0.0686247068369565,0.07279858253379,0.0742325174565099,0.0687118720372929,0.0687605708546919,0.0689799753704493,0.0705081408796602,0.0706952391921329,0.0660026443627817,0.0627571444295964,0.0645453486959588,0.0705966516470667,0.0714891563904578,0.0642715924476143,0.07368412366174,0.0703849949733971,0.0681476650388643,0.0758814494395935,0.0730625062931301,0.0670230878277439,0.0713244775226259,0.0646400021141248,0.0689790283166688,0.065189269140799,0.0866624923131234,0.0831903766904698,0.0623324401034146,0.0599335834143124,0.0647483040037611,0.0667099880120518,0.0664042214667635,0.0731982928612222,0.0663310986812236,0.0675203381729796,0.0663912148071822
rno04014__54,0.0743758352381681,0.0746581866552756,0.076769006199461,0.0764653838680559,0.0832061913567892,0.0817203444722477,0.078924426637768,0.0805362347001485,0.0810627494886393,0.0790197747180079,0.0804233385182815,0.0808222332655154,0.0767044077952333,0.0832859678238128,0.088926775248141,0.0855165536856343,0.076387310361747,0.0854716833961748,0.0752702420607954,0.0917660441146741,0.0941409426174296,0.0888117573358002,0.0912883839831875,0.0869889277239708,0.0804247461742479,0.0884241591206288,0.0804543819424147,0.0840480931493726,0.0808692583258272,0.0924901926325177,0.0845712845922827,0.0821582119082567,0.0816867626889793,0.0818213867639659,0.0828364752636363,0.0756211343748467,0.076396139398655,0.0762882261014688,0.0867287734491956,0.0784478200762894,0.0856126873095941,0.0746622429956666,0.0803516694883051,0.0807439617437025,0.089931010208086,0.082143408317835,0.081052042560947,0.102952756991987,0.0742016786216929,0.0963500483466509,0.0813794890102115,0.0844126492454197,0.0869054713197611,0.0796458712037281,0.0768827379642982,0.0831613898614214,0.0803708814673108,0.0826044608894488,0.0821828849414116,0.0989001718332758,0.0740557565758183,0.0779327166329593,0.0777786749343239,0.0768060122471613,0.0809187979479821,0.0753968623373681,0.0921976065631063,0.0733510893846459,0.0748605339210847,0.0719411505242973,0.0733893647695985,0.0782450477629723,0.0771639303202574,0.0716573810344565,0.076178804400159,0.0748434049434986,0.0819971540358099,0.081669327983439,0.0703142513061223,0.0745121622398599,0.0792567120952198,0.0853331153357993,0.0811254641917087,0.0749046462718736,0.0847694112139719,0.0843664664859546,0.0794224018107612,0.0905482846242168,0.086125502251644,0.0778833019871901,0.0851292547320073,0.0800581931770703,0.0819387111154833,0.0823618208613835,0.102478947182193,0.0989724567699529,0.0763081798793576,0.0695318060238948,0.0726322085327344,0.0783485345966815,0.0777171710347517,0.0859855622647736,0.0789362307505377,0.0760055324952607,0.0811599302134818
rno04014__38,0.0832033042218583,0.0908740669674743,0.0883314904847078,0.0881575940856108,0.0877692151164794,0.0895731494748538,0.0851083902520604,0.0832408059037004,0.094188423955235,0.0798096038188736,0.088419146027175,0.0817038198122364,0.0811074143059633,0.0825264010004594,0.0937954955974369,0.0854621082677443,0.0817575932958344,0.0926576413336973,0.0896522938302601,0.0897999897043992,0.0919209534426922,0.0834241366616349,0.0912113032655529,0.0830283972447094,0.0864879580823403,0.0882187517553869,0.0855741553608552,0.0861779578727315,0.0901902176252925,0.0950258308837813,0.094316974502989,0.0928053710547863,0.0904612274087654,0.0900606186738829,0.0866282571274972,0.0904887792762207,0.0944047793807036,0.0775196021652801,0.0841882523780428,0.08951708276416,0.0858098876706672,0.0737527203472974,0.0729314316341806,0.0828471355772659,0.0832254835336554,0.077597299743591,0.0829319482354766,0.101990667380612,0.070174158639834,0.0874484348671846,0.0903115736495326,0.0872425487935135,0.0850345727991181,0.0885572383624792,0.0882881319069758,0.0956161872533058,0.0821275391017497,0.0981599928842044,0.0730669855946337,0.0961886378770326,0.0785396168653578,0.0790186192516253,0.0847156079767308,0.0907508389311238,0.0855737756740374,0.0869918134986893,0.106221256074129,0.0841580277872326,0.0817129159129114,0.0883195482771151,0.0874779456101893,0.0894556526793347,0.0835657169494125,0.0913585071459771,0.0935009117617848,0.0888965495590046,0.0856403148144872,0.095041426939775,0.079046464020942,0.0886114941817497,0.0900511562268273,0.0931822421365694,0.0871712654153264,0.0847161401319847,0.0976887050539642,0.0844787723917234,0.0890666678529142,0.0971505861909258,0.0889045686294881,0.0927147261047403,0.0885926097598952,0.091558857546469,0.0880601359082818,0.0960973924576168,0.11513529656371,0.1251738851353,0.0816425170301366,0.0783780776664197,0.0744442420290809,0.0759385800568959,0.0879662647408302,0.0897403660169105,0.0829973145120596,0.0856626359561344,0.0826126359241841
