,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,Array_23,Array_24,Array_25,Array_26,Array_27,Array_28,Array_29,Array_30,Array_31,Array_32,Array_33,Array_34,Array_35,Array_36,Array_37,Array_38,Array_39,Array_40,Array_41,Array_42,Array_43,Array_44,Array_45,Array_46,Array_47,Array_48,Array_49,Array_50,Array_51,Array_52,Array_53,Array_54,Array_55,Array_56,Array_57,Array_58,Array_59,Array_60,Array_61,Array_62,Array_63,Array_64,Array_65,Array_66,Array_67,Array_68,Array_69,Array_70,Array_71,Array_72,Array_73,Array_74,Array_75,Array_76,Array_77,Array_78,Array_79,Array_80,Array_81,Array_82,Array_83,Array_84,Array_85,Array_86,Array_87,Array_88,Array_89,Array_90,Array_91,Array_92,Array_93,Array_94,Array_95,Array_96,Array_97,Array_98,Array_99,Array_100,Array_101,Array_102,Array_103,Array_104,Array_105
mod_1,0.03679686507678,0.0106490305794045,0.0132297863322197,0.00381453531580644,0.000758070150512657,0.00160792720154029,0.00149564068154862,0.00777735818325126,0.00165399285041729,0.00366484090870112,0.00119538891523863,0,0.000965493070531398,0.00142598729531029,0.000147855050114276,0.000657609999035302,0.0012375461340865,0.0159058884316763,0.000231792299016209,2.9885771531013e-05,0.00507491810369942,0.000480671312867886,0.00445188429723131,0.000293973078557497,0.000307177189540153,0.00849721965885614,0.0162334807779362,0.0226056222580909,0.00261888177283692,0.00564455200361186,0.00154575873158569,0.00126494957217954,0.000754442024881397,0.000418413976814414,5.50471675946906e-05,0.000154171486887344,0,0.00557228138990945,0.00173996121959807,0.000385463541747566,0.00824893004308014,0.00464568963705736,0.00223233954430158,0.000662712505748841,0,0.000152538675372238,7.52607084780754e-05,0.0234792864239693,0.000693044916882102,0.0079678812707229,0.000439299422194561,0.0165946065217695,0.00893525763609793,0.00169775710018299,0.00335616181788767,0.00484334985076224,0.013364756058354,0.00914356483142043,0.000692959134280635,0.010033696673397,0.0025159074132618,0.00748083628571072,0.00275084773297413,0.00712541311870218,0.0212217504461351,0.0193291655709344,0.0992880676138956,0.0117502010857302,0.0556484291977691,0.00213907104219285,0.00803425317620682,0.00699661499083115,0.0269251606114805,0.0346590507727202,0.0140285490963581,0.0141088738645053,0.0321024306548952,0.0126385990674512,0.017226126780122,0.00334155168244843,0.0088943340478555,0.00995757334331243,0.00277674007132156,0.00298483582684905,0.00573473650225298,0.0040224290180409,0,0.0274267787831798,0.0027822378113202,0.00654385067877861,0.0065110178708625,0.00265027054655909,0.00420737047898417,0.0035278407053615,0.106945857564105,0.085361162595276,0.0194070503286779,0.00861099704309776,0.0075776987012508,0.0136449976138935,0.00321926941338069,0.00686535883449435,0.0233202150526781,0.00670579988247405,0.0189927705852787
mod_2,0.100088786987865,0.0305959856658559,0.0374776678205472,0.0245637792924787,0.024435399773293,0.0338717149621612,0.0401434283863442,0.0463628703963962,0.0405859816817785,0.0262707895982138,0.0394394101124743,0.0360571090683978,0.0414584807873142,0.0406404132142273,0.0294127951712388,0.0324989737004608,0.020657953480976,0.0643878075550186,0.00786568134001847,0.000950527025331105,0.0708436660102424,0.00621061681445045,0.0647137917675029,0.00855337356596075,0.0174349585978874,0.061698664972008,0.0612881033313585,0.0606707743030278,0.0253434925386765,0.0633976375766719,0.0343483021024323,0.0376987495419706,0.0344131264757165,0.0304394733701285,0.0190114389798467,0.0246193634290757,0.00875785989922051,0.0477539837454987,0.0448352788787094,0.0196199403879263,0.0626825206484553,0.0476057860885049,0.0416223669546163,0.0209364310309713,0,0.00941098691502174,0.00578500319852104,0.0980452500298811,0.0183031249615394,0.0595801218916443,0.0227871218464402,0.0413164117449537,0.0885353523697952,0.0385858706258141,0.0530062048327146,0.0392962478852653,0.0533535316211947,0.0686681977831856,0.0168507663890789,0.058935879502915,0.0173150696422056,0.0301895035684164,0.0202140174454134,0.0497350116246458,0.0434293900108573,0.0435328204396519,0.1409692806633,0.0413364973866783,0.100553517992625,0.0264294015891371,0.0369565041321069,0.0254110210526055,0.0573487606293427,0.0816514039186498,0.0534535413055175,0.0417832211194435,0.0410164623518262,0.0397284699675039,0.0426597052198875,0.0423823286462682,0.0589278305575019,0.0579427089976964,0.0316999015300449,0.0476343549604696,0.042915729310441,0.03877284381009,0.0347234174437264,0.116454540690683,0.0259637627088359,0.0369784219240897,0.0350350154627509,0.0405389074035225,0.0273212831779353,0.0282858192812632,0.139830311425244,0.105390876740408,0.0537556409620816,0.0429718496901347,0.0533795318582748,0.0472367182528521,0.0422706455445004,0.0620617785163993,0.0585934915740913,0.0405561471333593,0.0544419193951436
mod_3,0.0109839062117451,0.00178574053869964,0.00227785800644883,0.00115329779977909,0.000173310502333658,0.00121026297303086,0.00132735638448262,0.0210195730792228,0.00171288940644474,0.000584332259399861,0.0025533468860874,0.00233643178736676,0.0113823496743664,0.0145183737568112,0.000861428985335751,0.00169197522680499,0.000798568219326154,0.00632346350997468,0.000272226171609,1.10298071884741e-05,0.00721624018542719,5.31369193476736e-05,0.00667066333801166,0,0.000681014959388073,0.00625673904177583,0.0292848697779746,0.0352595140897548,0.00554224537092077,0.00296506569141676,0.000874018748730324,0.00121899757370288,0.00151921393477456,0.00206873544017788,0.000894958467844107,0.000575925624377932,7.24347949314116e-05,0.00558513516634536,0.0184839344495356,0.000533834234098907,0.0412945729804243,0.00029213990992694,5.82604033818373e-05,0.000587272348838348,0,0.000113397484575086,0.00010059463923778,0.00275897862768225,0.000397726031620592,0.00411872865701096,0.000596806286582879,0.012739957664186,0.00360241886155037,0.00162073312802803,0,0.000821053757670744,0.00318277671279226,0.00269894023969655,0,0.00191598711152441,3.43087497957362e-05,0.000215157930679682,0.000228687180371699,0.000442315872965924,0.00346126680282453,0.00435969152637872,0.0174437565846895,0.00165391909314184,0.00360606571247168,0.0011375178125497,0.00155382809822675,0.00183905239416866,0.00898388917447499,0.00975851293816929,0.00518419676753788,0.00308120346203521,0.00729573343390013,0.000252338430603234,0.00129723736637736,0.00384862167807184,0.0126909772520217,0.0136029687324756,0.00117373495755564,0.000373380589846919,0.00432563367415652,0.00113098132615122,0.00192578092144715,0.00988564969587771,0.00130297093628875,0.00546568945860181,0.00773627788357798,0.00225937707958152,0.00132658689361174,0.00355739056338199,0.00323809459792764,0.00166355645091864,0.00324477917040165,0.00332000063838302,0.00781334209533162,0.00816158815633011,0.00145857766751628,0.00303279043808196,0.00244029386905517,1.21226996109429e-05,0.00126539617500534
mod_4,0.00695138053693758,0.00152168008967275,0.00288118344266395,0.00101204638699386,0.000258931627980792,0.000943456416136052,0.00022825420963905,0.00263021320213813,0.00214434126404568,0.00222265311049113,0.000169265910546771,0.000178735081945582,0.00114751094178387,0.000248467084221551,0.000966767125563678,0.00258833197704385,0.0024407708921066,0.00515301529673522,0.00150873826066303,1.21748048938361e-05,0.00332570147522156,0.000528838152463826,0.00406882283361986,0,0.000348514735983751,0.00150031356890213,0.00439100164183481,0.00113849632791507,0.0032244510480979,5.12884451278301e-05,0.000791707898296479,0.00849149494621402,0.00258947434798495,0.00169322729290409,3.34361758610751e-05,0.00012391765813567,1.21708570418045e-06,0.000582672398553994,1.11256509441809e-05,0.000317780897741059,0.000171462502259439,1.30744377068658e-06,2.35418188752663e-05,0.001379173921238,0.000641586361121551,0.00304592475176197,0.000964583246538598,0.000868717527366837,0.00093084001187606,0.00762009938011317,0.00158917907211138,0.00145896318481526,0.000233171527698447,0.000645043139926048,0.00355267551197505,0.00426147170537454,0.0149177331479808,0.00541662186457209,0.000180490092695245,0.00211878378931184,0.000127309646034103,1.65462803778563e-06,0.00256714313002328,0.000704491749774819,0.000830986746979257,0.00357055668024909,0.00635329288854488,0.000522617322997154,0.00923715078292585,0.000834194085882719,0.00102402558304005,0.000564475566964757,7.22122588732234e-05,0.00346984024109513,0.000436136319678084,0.00362030066433744,0.00197427676288386,0.000885532672935389,0.000102728191855132,0.00135046145421155,0.000740044898020327,0.000556472965827235,0.000925489975768315,0.00198250743354926,0.00367706007512901,0.00149376583830087,0.00032552371996792,0.00355949294694105,0.00117583663870375,0.00611362661237774,0.00339631191792864,0.00128269154250779,0.00564100901295542,0.000636464433652808,0.0214482279363445,0.0712765906061899,0.00423263062454801,4.95297538535123e-05,2.80800212183212e-05,0,0.000734077163822017,0.00178220384677939,0.00483203411943941,0.011515296639451,0.00115938429118947
mod_5,0.136909481670423,0.155048444298765,0.166792182296139,0.111496284947051,0.0412051949617296,0.117181367834122,0.124883946170014,0.146858499146234,0.161117526827744,0.146984735490312,0.158011721479248,0.100724485393419,0.184138507546098,0.126544560291508,0.130880884915065,0.203120590401208,0.182450375653138,0.110117237079978,0.200035300010141,0.105908070297313,0.172541204797424,0.140460264094152,0.125014178120982,0.0568775003435694,0.181998425068138,0.142954259111949,0.196200708087964,0.181998425068138,0.180675416609984,0.0259124913867025,0.148319228815939,0.188660209586467,0.133190404740788,0.201631070543403,0.15347230626644,0.155752472948306,0.179026083826849,0.0841253711862934,0.140293549164525,0.126119871311117,0.132911902082852,0.0270587661142471,0.09773155249904,0.19311967923437,0.151955603711467,0.154916618109747,0.214474743463353,0.0214894444113224,0.205338075858585,0.084885595246759,0.224895929857883,0.17559009215478,0.0428744936311957,0.157309329304409,0.20253809196177,0.159028453836669,0.249070464552573,0.140293549164525,0.127262242566662,0.04430885212305,0.0450892481041042,0.042293389745495,0.143205035890995,0.159995369473439,0.111101421327309,0.146286412503515,0.107634141687234,0.206090292416063,0.150006457518829,0.200035300010141,0.0915143610029655,0.110117237079978,0.212187205236402,0.159853822168762,0.179795965805251,0.225377085493842,0.139607645503985,0.0902235994785036,0.110117237079978,0.193999639790269,0.19311967923437,0.103071978734525,0.116154939280845,0.160404989219628,0.200486357804721,0.10998813225715,0.111620143082168,0.0807254774597383,0.142954259111949,0.157462055487523,0.135520518086735,0.25,0.20909572479196,0.0751491829348998,0.0951987200074029,0.209837178136619,0.241472061618978,0.0511628071284844,0.0697075046054455,0,0.132356357709242,0.102442472481949,0.123223597063412,0.213468458075904,0.139720447198846
mod_6,2.94299253190354e-05,1.81926032075395e-06,3.49639012664254e-06,1.04369666044305e-08,2.1995648326011e-09,4.18687587677536e-10,1.34712863556727e-08,0.000529773756879676,2.79771018774301e-08,1.65514126350021e-07,3.60369960057988e-09,7.86592675652725e-09,2.54663618892501e-05,0.000356709601877614,1.64845355971202e-09,3.5978911894992e-13,8.40744352917928e-09,2.89354304605463e-07,6.00491620349068e-11,2.16723931997146e-11,1.63892618567423e-07,2.92200077103183e-10,1.21775436577757e-07,6.07738623370343e-12,3.35052445626206e-09,1.71676413900446e-08,0.00206291060963739,0.000764862183164601,0.000753816772389615,5.49494922563887e-10,8.55872833615185e-10,1.57839919981474e-07,6.29634915436795e-12,1.01782943577521e-07,5.00722885053103e-09,6.14102505478387e-09,2.40900869700848e-09,6.11871093716785e-06,4.18147210967432e-05,0,0.000216078129397932,0,0,7.16171184470886e-08,4.60285142957111e-10,4.88338905801046e-11,1.30856998290979e-13,5.11217301750097e-13,1.79137152391717e-07,5.30075618253547e-10,3.75292010474633e-09,1.22395833646328e-05,3.85818553935769e-09,1.58253287046566e-08,1.05971676948154e-05,4.8110995001893e-06,2.23295885534018e-08,2.64490063281749e-08,2.3451619368397e-07,5.79777551806597e-11,1.35189135935459e-08,1.0335262003376e-11,8.23207253836508e-07,1.17665431401412e-08,2.1928741618707e-06,5.13902801582535e-07,1.16582711168253e-11,1.03557705806955e-12,8.51160831743843e-06,3.05498095424806e-08,4.61801315539346e-07,1.25995014572107e-06,8.51557363977634e-05,3.63452298078561e-08,0,8.0487388448574e-06,2.65409844432784e-05,1.19438621503359e-11,1.82756403199379e-07,2.70501188248462e-06,0.00017414541943618,0.000465492868109953,9.05577513309277e-11,2.75836270087193e-07,1.65670046214494e-07,4.45502447310772e-13,8.81158309232533e-11,7.33166425813319e-09,7.22351361442776e-09,1.52084369371203e-06,1.09619142348747e-06,1.77637255855804e-08,4.46120205522263e-08,1.57684756702869e-05,1.68473914174175e-13,8.33416883776636e-13,3.26796862770915e-07,9.02883701725288e-06,4.35288397930117e-07,1.28326442335361e-06,4.97142516768946e-09,6.48908842050063e-07,6.35566180859765e-08,2.07273758052631e-06,1.05244278252423e-07
mod_7,0.273703133697462,0.221313213379523,0.274233961922413,0.106496494010916,0.0925757746806609,0.0932537112336847,0.166791416464872,0.760353251429865,0.113953123430129,0.172176558163356,0.151376437687271,0.128062108164867,0.679991719546578,0.736020749551456,0.147567098672313,0.102544142101255,0.119303758470938,0.207759456737019,0.084801959759277,0.109370833616367,0.25317705423183,0.0755574739159743,0.318826121038919,0.0709429738005579,0.137883631506335,0.10071227715454,0.967351817174296,0.708780989385027,0.581426465040171,0.0583264719128453,0.161471424424136,0.21240434556438,0.0599177123533426,0.208476546759493,0.104357548650317,0.0936144149634318,0.0940777433480405,0.143427293762866,0.607952773783517,0.0549839898346645,0.875775248274198,0,0,0.100019890795704,0.0762385667278894,0.0557844671150017,0.0670894663188855,0.0238258982453661,0.0851819536509513,0.0302940015461355,0.145266413788611,0.4571122605969,0.101219717725915,0.0966082339922859,0.180386498412904,0.198375723580442,0.0943289212793248,0.0330949219435242,0.0669686305387323,0.0436992943406643,0.0811762229813342,0.0619493163738389,0.159146207596515,0.183802766588066,0.133915008044214,0.303448509654953,0.190773595938648,0.110562291258017,0.151802272104153,0.152714927860661,0.218054470738852,0.256268821130309,0.464975296301628,0.254914633274045,0.14987035094935,0.236420289892839,0.342550852271513,0.157924948509137,0.0374033138677048,0.314960196495491,0.358631765199186,0.465679454561543,0.145595129590343,0.154643051422748,0.179530384988753,0.0280628447459483,0.075958207374883,0.131351270218561,0.0948004508331883,0.370726486498649,0.254655192770994,0.16114660069778,0.125320125408403,0.199658789935163,0.0556579445888481,0.0581646739801518,0.0998474606547595,0.404104265016619,0.371282312532094,0.255405169145479,0.109226191238823,0.382475656039017,0.113835733138971,0.287019774607959,0.105872609402704
mod_8,3.54061354354247e-08,2.29161626561922e-11,1.12020759513396e-09,1.75616797665735e-13,7.78228988052202e-14,1.52639557048559e-15,3.84549277446073e-14,7.20633099318165e-10,1.04577653504335e-12,2.81464448970457e-11,4.5342458147971e-15,1.4153073066594e-13,8.97781059281255e-15,2.58292772007919e-10,2.14170617435397e-14,0,2.30850671605067e-13,1.59841819397596e-11,2.68131179577596e-16,0,3.28266886520744e-13,7.50632123319631e-15,1.77911095561651e-15,0,8.08564198336869e-16,1.5893793411934e-12,9.44483901431572e-08,6.02293089759045e-08,1.96885745078375e-08,2.29460718971776e-16,3.39980026631965e-15,1.01472658081417e-11,0,6.66326695941678e-13,3.82287934342841e-14,4.0187160728725e-13,1.13134925419464e-13,4.9070295508475e-09,6.100332594981e-13,0,4.36142463641976e-12,3.87145870917038e-12,1.11348401639376e-13,2.84862028920879e-11,2.33924701784745e-15,9.03147675075463e-16,0,0,1.20672227949929e-10,1.73400506243758e-13,7.92962848480931e-14,3.67367443603428e-10,1.65284856144386e-13,1.91456261390161e-12,1.78662149979796e-08,4.19252726455453e-09,5.31154988729179e-12,5.00410730659651e-12,2.35653957147457e-10,5.33966539737729e-16,7.57661977694823e-13,2.70970703467015e-17,3.32773870408837e-10,1.02081804425027e-13,2.49082155009537e-09,2.02216413030803e-12,0,0,8.13246359954371e-09,8.29385288254649e-13,7.74883046177515e-11,1.41396201995162e-10,5.13342765126808e-09,6.63244892275946e-13,0,3.09525545908253e-09,7.95658298702946e-10,0,1.05551194690797e-09,5.37583888605141e-13,5.60037135816008e-09,1.03297299053467e-07,0,4.00054283447065e-11,1.05118780304582e-11,0,0,1.03438449970795e-13,5.01696186381086e-13,1.37154645397033e-12,2.79197647695381e-11,2.88120114009496e-13,3.1123220377852e-12,2.16010680486763e-08,0,0,1.54718369095301e-10,7.92950069221449e-11,6.17548409481067e-14,1.14104019511651e-11,2.89397496859355e-13,1.51256647149947e-11,1.11536729901042e-11,2.57811495614416e-10,4.07087829281565e-11
mod_9,0.100027286906842,0.068751933836335,0.112276927614324,0.040866878093005,0.0575870427218978,0.0136066805302659,0.0134900060383116,0.156045107314074,0.0220207067787463,0.0577967339635094,0.035529033843271,0.0453918123255586,0.173131893692619,0.185864412060655,0.027197767800845,0.0352035119549605,0.0359856912334817,0.00819307808065742,0.0207703299973909,0.0408479553851845,0.0101365757608646,0.0363680957674659,0.00299367001774802,0.0569093630834031,0.0475035627167622,0.0277465507995898,0.167717100595107,0.158143663170549,0.111362168187135,0.0138657376933901,0.0249674851053159,0.0330931496547274,0.0441511967991718,0.0379190750452301,0.0395158851896271,0.0432899169271478,0.0420792657122884,0.0348271580697006,0.158597205901837,0.0230364424923869,0.14937215888184,0.00123881738578381,0.00635798156604497,0.021702964678405,0.0425246765047136,0.0237498603911971,0.0320650983282962,0,0.0256033580447959,0.0194804452862833,0.0445151178998689,0.0850771112633783,0.0354835942918323,0.028390716227169,0.0332536084513499,0.0453583816816857,0.0237831161985565,0.0197075028742937,0.0391876423800193,0.0118219328792579,0.0334945275119516,0.055815671266792,0.0572936065858705,0.0323062012873667,0.0277004808619217,0.0466954039250785,0,0.0145328200191975,0.00880847135000143,0.0356323474171065,0.0791837148301677,0.0937347790637855,0.117416241495384,0.0314294154757143,0.0185622061639923,0.0830798920150031,0.0794172989807079,0.030212649731155,0.00304277515030998,0.104766197346953,0.101829118797462,0.157858547590879,0.0543309709347254,0.0223664386935054,0.0565220760695933,0.0374816506129916,0.0187661257672783,0.00798055007734787,0.0277053846507304,0.101907705949361,0.113082615759499,0.0272810823659631,0.0314455733610023,0.106167853827177,0.000996964186495172,0,0.0144825965510373,0.118462479869894,0.119101805504008,0.0954886278656315,0.0454840170464671,0.0719734828414872,0.0231301223508736,0.0903071073431393,0.0149364869459423
mod_10,0.0353869651655571,0.0657751077474866,0.0292685938683758,0.00630358162934984,0.010692123795803,0.0025059770905289,0.00600773612546385,0.00132118191074312,0.00512067516273788,0.014331910506222,0.00343415571510843,0.0075302118058792,0.000761965885217789,0.000842604334085139,0.00757181885909186,0.0023483204319242,0.00677219802604001,0.0160072807329869,0.00337669920392046,0.00549155542074931,0.00196874591108975,0.00387457001800167,0.0222910251011323,0.00257643883257719,0.003500724872447,0.00336189354042732,0.00224630742389242,0.00173386368932704,0.000840128073748287,0.0016597511230338,0.00542329795290155,0.00594182424817208,0.00186896971888904,0.00379552702120082,0.00780570988509293,0.00436860693110021,0.00485878513265433,0.00262127616100288,0.00111323554965412,0.00528141037276254,0.00277779380995397,0,2.38970860441673e-05,0.00813555686941991,0.0102897284533005,0.00378543674651037,0.000996753329338705,0.000583395157708931,0.00243475689230762,0.00077122089583345,0.00564633079119762,0.000134931174441313,0.000576539380735174,0.00284365540203331,0.00373154631192721,0.019468054857417,0.0276639647755599,0.0149891978786038,0.0116848902025735,0,0.00591472589130794,0.0177961613707849,0.0116026007932798,0.00116662528798208,0.0528442424168046,0.058798691003692,0.000872250478132165,0.0661189106701365,0.0161571092228371,0.0113137108705915,0.0332549187490039,0.00119703726833024,0.0299700030327974,0.0445019506094483,0.0720619412336839,0.00191876433117448,0.0301561864905151,0.0286151459926444,0.0239290747036212,0.00637202990796633,0.0049900821002579,0.00282395887432497,0.0021736043094737,0.00880998945111675,0.000562832311213334,0.000515369960336532,0.00241707771239815,0.00425869586791641,0.00325705414714797,0.00549479737204178,0.00428243455605557,0.00622200360179068,0.00398597040457367,0.0101396553051979,0.000379284333950313,0.00118633947436842,0.028325925147601,0.018004370036053,0.0126556412412205,0.00851302101934822,0.000448124386707218,0,0.0301001264304032,8.78998170467729e-05,0.0297911788476675
