,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,Array_23,Array_24,Array_25,Array_26,Array_27,Array_28,Array_29,Array_30,Array_31,Array_32,Array_33,Array_34,Array_35,Array_36,Array_37,Array_38,Array_39,Array_40,Array_41,Array_42,Array_43,Array_44,Array_45,Array_46,Array_47,Array_48,Array_49,Array_50,Array_51,Array_52,Array_53,Array_54,Array_55,Array_56,Array_57,Array_58,Array_59,Array_60,Array_61,Array_62,Array_63,Array_64,Array_65,Array_66,Array_67,Array_68,Array_69,Array_70,Array_71,Array_72,Array_73,Array_74,Array_75,Array_76,Array_77,Array_78,Array_79,Array_80,Array_81,Array_82,Array_83,Array_84,Array_85,Array_86,Array_87,Array_88,Array_89,Array_90,Array_91,Array_92,Array_93,Array_94,Array_95,Array_96,Array_97,Array_98,Array_99,Array_100,Array_101,Array_102,Array_103,Array_104,Array_105
reax_1,0.427087759210993,0.429474940949098,0.430336702274555,0.338059749283403,0.15411877501214,0.164407153687834,0.25358444756981,0.399293039638892,0.160109018275349,0.287458069727471,0.311272048463248,0,0.242859499169732,0.453373068376606,0.0751591458916672,0.131279330098286,0.134534875574589,0.302983697060263,0.11038374919752,0.110256930346654,0.16373255987125,0.277749467801494,0.125907293084552,0.264357180440546,0.153900546156591,0.507563910226668,0.574667353848725,0.631291728294454,0.337982738656854,0.50179026186484,0.212912150602438,0.0572584816481372,0.14142989769855,0.101758793822338,0.189112305360903,0.199059507301054,0.094139240575969,0.323779958710339,0.488019042063611,0.218311321715048,0.533459603982838,0.373865862696992,0.487641749534486,0.181376653057401,0.102145101647067,0.0415551441069431,0.0634842141226987,0.198906788363424,0.221664682970954,0.156459043923815,0.11670963448542,0.623080007011028,0.35454776297259,0.237290647398639,0.192450365000716,0.238646366263776,0.532014309433777,0.676356180946881,0.25486336464348,0.154668102786488,0.409816980637906,0.487219645342456,0.424081049986488,0.823905913247991,0.46451942674746,0.481771652237359,0.939119031053627,0.683502712839951,0.750136269469015,0.18750180712225,0.440574098309838,0.656780840891894,0.571418846470545,0.666185920053194,0.438812570652034,0.683763678827307,0.657030713138974,0.486445653907146,0.624314782519059,0.294028209746987,0.422094169877327,0.400346108054538,0.452072527409448,0.171837469613866,0.57112773302342,0.2864428829423,0.194970278454453,0.642641782731994,0.300648829522962,0.356925154836563,0.337795976965279,0.258117537377435,0.278497579803405,0.22821603735625,1,0.889423550327409,0.533130563156421,0.826080716562044,0.687677531816987,0.811676899522366,0.808530008300731,0.741431905993561,0.424305733169846,0.904859370446101,0.553829186590643
reax_2,0.672567763116579,0.841073338247205,0.774019223502429,0.519560443271333,0.515749772188215,0.380543912041942,0.173611065177136,0.39258953681191,0.31184110251432,0.616584635635288,0.124458067183354,0.256726555220098,0.191340245192285,0.189018093988092,0.273999236336592,0.381447009874608,0.478187788563332,0.541585092970614,0.317543684333731,0.324780681116486,0.373618156648783,0.468492417319528,0.500278445941096,0.175857809687747,0.178114981919747,0.354700115275413,0.457102629651211,0.444554233767131,0.530337979108225,0.322152880150648,0.402496689718721,0.690608994957276,0.373618156648783,0.285703017814667,0.0284956957717449,0.0841873915440932,0,0.427928296554565,0.104120753777194,0.252489953647978,0.19949684895525,0.509120821561532,0.131886581266836,0.384717664694838,0.301733360330499,0.544323909905151,0.339576512195194,0.888284118172583,0.352991937430151,0.740909640139771,0.266109631242484,0.474934289207,0.368823334693331,0.210682355938216,0.339050856928081,0.467552569647333,0.403485231258786,0.229854351934693,0.273999236336592,0.728667856188886,0.398614006422838,0.430519487968236,0.562775782541832,0.223258225270795,0.965248338637004,0.787686459237104,0.621705519005161,0.480660973647238,0.646532444850539,0.480174301591245,0.555067065038606,0.309921360422855,0.826034806711536,0.677029143256054,0.671894988938424,0.430760253541909,1,0.57099528085414,0.537008741307504,0.271182524668615,0.290115750871458,0.395753082086642,0.25884412479321,0.486512679178,0.284912942751904,0.396234668308176,0.220127169441314,0.39258953681191,0.433107574747122,0.587683301701643,0.619922996671082,0.283142450559236,0.537991917468451,0.669574364333978,0.618871365163168,0.651020641112617,0.705371222921968,0.230711663693877,0.197626880145232,0.265213743896224,0.0997645032629598,0.185628011861055,0.886709022995637,0.231990871736975,0.688593910091527
reax_3,0.788428491211002,0.636246863979703,0.696163650664353,0.551755397834933,0.257950188900206,0.463131805498764,0.514104175640606,0.652048670770874,0.4798814882422,0.500167947464601,0.461842450368371,0.167481997137473,0.301980459386891,0.249740039280398,0.15160763804142,0.239201419261722,0.575679995072633,0.925164610177611,0.510319444963298,0.574539743991967,0.691895814678593,0.378309017053621,0.641412550623285,0.494759518764237,0.386506332383697,0.461104180131135,0.620484841680993,0.846286191106452,0.364345539808386,0.332084658703374,0.325974181753553,0.514373749940459,0.247029765278122,0.282637876802421,0.331507840240856,0.230791130639196,0.0782122876422293,0.516996516506981,0.479239093358547,0.220583671109881,0.753181037076395,0.339438259045929,0.526482635383226,0.289948858370392,0.479005859354012,0.454094758177104,0.381425346208793,0.818571408326711,0.309855484299271,0.704805052014091,0.384886193317236,0.892050743262232,0.448728208623915,0.519543176120987,0.566253957129486,0.698846680613421,0.741093872575562,0.534839404880002,0.394401070882837,0.930547494235829,0.599459006888207,0.800870827563948,0.380559544941439,0.501259922298226,0.722295861168591,0.756516878347932,0.822744740515804,0.576003485638942,0.756628739313844,0.536845629049991,0.567551796086445,0.872073534141848,0.642813923833941,0.600339991141974,0.563652558777354,0.730661828134719,0.846170212664147,0.740838798743974,0.80754564398317,0.612792034560292,0.738790591740336,0.665735363139347,0.480000274032278,0.444031525468863,0.509027395109263,0.577398639707239,0,0.562392323911498,0.500680235211443,0.519543176120987,0.553004049183939,0.530288236781261,0.635194390368931,0.513593243498758,0.86085758536606,1,0.630391188621988,0.673264488872954,0.639656361710992,0.853987001923675,0.580538995188781,0.492828409122763,0.69459200293669,0.511562147921092,0.611171135820305
reax_4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
reax_5,1,0.815193202283357,0.709460801326314,0.500986469181495,0.338102662064322,0.512533126636321,0.555233615885599,0.698719030690448,0.600453787277062,0.379713807099054,0.619109121182032,0.405524618760569,0.520341866497891,0.545905166469525,0.459187462892289,0.548172365773681,0.587271343047597,0.649573650570773,0.430615152153205,0.170179286505102,0.661371552677816,0.407231106355842,0.727367985208312,0,0.44076800628319,0.646571880693371,0.754086217242286,0.705663821061912,0.70329087147191,0.624858097661536,0.547561468233789,0.657150058631543,0.499424135873568,0.696887498234683,0.319960232541637,0.371608108941085,0.308528967674058,0.521851888886358,0.347495963046923,0.428551104963223,0.561047272251987,0.524093242719543,0.388140507985718,0.470590011824873,0.420161518252333,0.444092259577578,0.40895115385721,0.73480903705638,0.43794494875221,0.644524266928358,0.536858450627403,0.725698219040366,0.795195774360603,0.609925745039284,0.67538059986224,0.758634003509058,0.68313249219823,0.550529105279526,0.333607844795342,0.745685646904648,0.246368817892747,0.0970285069693513,0.503515882040813,0.68419563694545,0.559043036334497,0.718342042462106,0.915744982080147,0.498768081013298,0.630254045352633,0.625116907640111,0.676391496247549,0.722797848586896,0.737990780742848,0.727367985208312,0.564415177598661,0.758824257050986,0.799145705644176,0.603221689940788,0.356740715248613,0.497944201767228,0.678124822480125,0.736256906832969,0.46908854013338,0.557895251297295,0.633022898933737,0.433434625763678,0.514343048321786,0.680354875634309,0.479054225412445,0.535181079112424,0.528796998713364,0.616300391580818,0.700772833353193,0.352824121841283,0.877861336619872,0.892871495742064,0.415936656823009,0.632209788350061,0.57419822068187,0.635197795088977,0.577816617695141,0.682630356783503,0.447214403446094,0.810230937249238,0.466102833927423
reax_6,0.833762497172765,0.235570155456811,0.314871656576918,0.571301540112655,0.0771948409669855,0.572895938192381,0.553102543589773,0.634501616630856,0.84040180578764,0.506058018405996,0.74566004494264,0.640360242467636,0.642334659428826,0.524215644270408,0.416393271709381,0.785342977326812,0.420122286569134,0.792220200499525,0.705768515204646,0.290635918967757,0.780930116854796,0.368904903543378,0.768294734930005,0.216581853359799,0.769031447727307,0.733304610116965,0.715472814411371,0.64496514332935,0.268641697956591,0.645900087269033,0.400123308710906,0.478037459683835,0.796315059794141,0.525632332901872,0.669568011386526,0.571893305579413,0.270998247148302,0.636740290782149,0.503396861448987,0.49830488648886,0.704362953424682,0.0803064762710293,0.418226591127848,0.238231075051749,0.316190920236456,0.294493378705092,0.335731291475501,0.903571228637203,0.250533815620272,0.588731392027424,0.384013526910537,0.383667996973214,0.90496539953599,0.788295871215191,0.891928112715784,0.261516551241777,0.430506518547229,0.477102130119835,0,0.50315603813471,0.0541699244018283,0.33524474084664,0.0687117877925424,0.214974335030731,0.64567976129515,0.676212578153801,0.914016103596047,0.219046439325442,0.832183266706133,0.726940058734499,0.345689278316106,0.333137721729851,0.760617075937873,0.790606395232184,0.576258053030087,0.515871625712646,0.61335961494457,0.445895867807034,0.474276532177407,0.504312686317467,0.796727964209495,0.543668104287203,0.274794961097948,0.866350815246286,0.472435253954294,0.440713720174798,0.491006563745299,1,0.776216157449669,0.720961555533427,0.617644965707681,0.783139678749781,0.480312971419915,0.628132661865685,0.948688359160934,0.605623169596239,0.562754314620134,0.325880083602431,0.653960910924074,0.517488545695324,0.492450476972047,0.48660292939513,0.625040946424289,0.157951651974597,0.298095698554411
reax_7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
reax_8,0.711538907400767,0.380058780744679,0.449142408880266,0.274969952767582,0.376236847266994,0.376236847266994,0.439731702995692,0.445527069498222,0.369607411904916,0.326285471462495,0.372846508474886,0.415188408359631,0.441826026926153,0.454953963485459,0.365715972104323,0.315954432195115,0.241245156698235,0.581409921346656,0.0864436625867029,0.0141580426879325,0.638688863914305,0.0810954657881138,0.563264493673444,0.136853977055372,0.184931519273959,0.576892204737737,0.5419852076572,0.576892204737737,0.315954432195115,0.631846323197573,0.413636195583263,0.409988071551994,0.344875238041833,0.314323444724367,0.230205775142907,0.298692526294271,0.124510164884384,0.509910830088598,0.568257831616283,0.237759160598733,0.629669988376535,0.716460881399459,0.535552876190112,0.286760223007682,0,0.125881245618432,0.0767530296325747,0.785962039500568,0.251464040428196,0.607504216867629,0.278477262108169,0.466311776886896,0.681225563957597,0.358687475425134,0.445527069498222,0.4845432699782,0.592348286896899,0.78816405372055,0.269612262225263,0.603389735714576,0.271603964050407,0.460560198915068,0.307467861011891,0.651927531456374,0.450791704028419,0.402935260014866,1,0.568257831616283,0.900447192815014,0.251464040428196,0.437765667617588,0.298692526294271,0.498145420211015,0.701399980202999,0.574818249533653,0.421206110396699,0.378196271026474,0.452919945373329,0.544393354415049,0.492574578056083,0.520787718031037,0.579275357772375,0.425018984656979,0.441826026926153,0.474012667101716,0.482200241609385,0.402935260014866,0.922169192072008,0.266675451411391,0.374757372557592,0.376236847266994,0.376236847266994,0.290480939092745,0.339659815316188,0.99469138818902,0.931058250986396,0.636582733278878,0.525233178558756,0.546342487955769,0.506199882198199,0.474012667101716,0.662763364417464,0.660538173183938,0.544393354415049,0.720837461103285
reax_9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
reax_10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
