,SampleID_RNASeq,Drug/Chemical,Effect,NA
1,RNAseq1,NoDrug/NoChemical_1,Control,TRAINING SET
2,RNAseq2,NoDrug/NoChemical_1,Control,TRAINING SET
3,RNAseq3,NoDrug/NoChemical_1,Control,TRAINING SET
4,RNAseq4,NoDrug/NoChemical_1,Control,TRAINING SET
5,RNAseq5,NoDrug/NoChemical_1,Control,TRAINING SET
6,RNAseq6,NoDrug/NoChemical_1,Control,TRAINING SET
8,RNAseq8,NoDrug/NoChemical_1,Control,TRAINING SET
10,RNAseq10,NoDrug/NoChemical_1,Control,TRAINING SET
12,RNAseq12,NoDrug/NoChemical_1,Control,TRAINING SET
13,RNAseq13,NoDrug/NoChemical_1,Control,TRAINING SET
14,RNAseq14,NoDrug/NoChemical_1,Control,TRAINING SET
15,RNAseq15,NoDrug/NoChemical_1,Control,TRAINING SET
16,RNAseq16,NoDrug/NoChemical_1,Control,TRAINING SET
17,RNAseq17,NoDrug/NoChemical_1,Control,TRAINING SET
18,RNAseq18,NoDrug/NoChemical_1,Control,TRAINING SET
19,RNAseq19,NoDrug/NoChemical_1,Control,TRAINING SET
20,RNAseq20,NoDrug/NoChemical_1,Control,TRAINING SET
21,RNAseq21,NoDrug/NoChemical_1,Control,TRAINING SET
22,RNAseq22,NoDrug/NoChemical_1,Control,TEST SET
23,RNAseq23,Drug/Chemical_2,Effect_2,TEST SET
24,RNAseq24,Drug/Chemical_3,Effect_2,TEST SET
25,RNAseq25,Drug/Chemical_4,Effect_2,TEST SET
26,RNAseq26,Drug/Chemical_5,Effect_6,TEST SET
27,RNAseq27,NoDrug/NoChemical_1,Control,TEST SET
28,RNAseq28,Drug/Chemical_6,Effect_6,TEST SET
29,RNAseq29,Drug/Chemical_7,Effect_6,TEST SET
30,RNAseq30,Drug/Chemical_8,Effect_7,TEST SET
31,RNAseq31,Drug/Chemical_9,Effect_7,TEST SET
32,RNAseq32,Drug/Chemical_10,Effect_7,TEST SET
34,RNAseq34,Drug/Chemical_11,Effect_1,TEST SET
35,RNAseq35,Drug/Chemical_12,Effect_1,TEST SET
36,RNAseq36,Drug/Chemical_13,Effect_1,TEST SET
