,RNAseq1,RNAseq2,RNAseq3,RNAseq4,RNAseq5,RNAseq6,RNAseq8,RNAseq10,RNAseq12,RNAseq13,RNAseq14,RNAseq15,RNAseq16,RNAseq17,RNAseq18,RNAseq19,RNAseq20,RNAseq21,RNAseq22,RNAseq23,RNAseq24,RNAseq25,RNAseq26,RNAseq27,RNAseq28,RNAseq29,RNAseq30,RNAseq31,RNAseq32,RNAseq34,RNAseq35,RNAseq36,RNAseq38,RNAseq39,RNAseq40,RNAseq41,RNAseq42,RNAseq43,RNAseq44,RNAseq45,RNAseq46,RNAseq47,RNAseq48,RNAseq50,RNAseq51,RNAseq52,RNAseq54,RNAseq55,RNAseq56,RNAseq57,RNAseq58,RNAseq59,RNAseq60,RNAseq61,RNAseq62,RNAseq63,RNAseq64,RNAseq66,RNAseq67,RNAseq68,RNAseq70,RNAseq71,RNAseq72,RNAseq73,RNAseq74,RNAseq75,RNAseq76,RNAseq77,RNAseq78,RNAseq79,RNAseq80,RNAseq81,RNAseq82,RNAseq83,RNAseq84,RNAseq85,RNAseq86,RNAseq87,RNAseq88,RNAseq89,RNAseq90,RNAseq91,RNAseq92,RNAseq93,RNAseq94,RNAseq95,RNAseq97,RNAseq99,RNAseq101,RNAseq102,RNAseq103,RNAseq104,RNAseq105,RNAseq106,RNAseq107,RNAseq108,RNAseq109,RNAseq110,RNAseq111,RNAseq112,RNAseq113,RNAseq114,RNAseq115,RNAseq116
rno04014__47 49,0.254109377673446,0.25114254628342,0.250768111097133,0.26390109132966,0.257551106565025,0.25885151553351,0.257673095482226,0.258015180108182,0.252289418713903,0.265777883257079,0.271893735675318,0.26709343466759,0.273576161982221,0.268677989693294,0.253609850486794,0.264227200411644,0.272468936123591,0.264617545403288,0.255911396511518,0.255915478430098,0.26284396101504,0.275634613851628,0.258006199096778,0.259946828287023,0.255301007242816,0.259313401951311,0.268003859905734,0.273127729466135,0.27166128034182,0.252296288022528,0.247669667969356,0.264442802232005,0.25599024516267,0.264195348833836,0.269161592259069,0.276993901313516,0.257434273133981,0.25934948625843,0.251484777913414,0.248069451719434,0.271286406045151,0.268214047312553,0.270499170012434,0.249835076177296,0.246724738306584,0.254507283409694,0.261896344814929,0.268466445237354,0.271490170061781,0.273401753301812,0.260688116444213,0.256398555999109,0.257430653166713,0.250040972373073,0.260288995309342,0.270491683264235,0.26841611977177,0.251813940404101,0.243638345695202,0.259932913308831,0.251458325057697,0.250965446154609,0.257549699931889,0.261213816056851,0.255904820464481,0.252980928102955,0.254615569465669,0.257742910687377,0.25645719251612,0.257204791234961,0.254506081404913,0.253485369922877,0.250150667451672,0.260475364638236,0.251324660300425,0.251603415853146,0.253710520953697,0.252940376391164,0.25649493071243,0.267106975512046,0.251984478372408,0.251908821480086,0.264811064252705,0.264317415221533,0.271336008694735,0.271501522293991,0.268884987552769,0.261636044762517,0.252302539827849,0.250856582791071,0.25593138305787,0.251444501295647,0.268069845129765,0.270510587253045,0.272376608625102,0.258395892825676,0.255023588687858,0.248877509310423,0.259413378787642,0.253292264264878,0.255776979760172,0.248974382684546,0.246096655071126,0.252369783626857
rno04014__42,0.0311677301981994,0.0239104397345813,0.0269754219778154,0.0335834955641888,0.0308088170551129,0.0278949663299254,0.0295382230205793,0.0333183265778094,0.0295780122799135,0.0336729420279008,0.0335815653446624,0.034274527268918,0.0359664882458471,0.0333167222338576,0.0297102621793355,0.0329408521033185,0.0327220437692773,0.0326151884442226,0.0282700383792502,0.0314343829120837,0.0309846071920605,0.0362482951854009,0.0305630030340563,0.0290756515244657,0.0289646957657879,0.0301037569652992,0.0278247857880247,0.0324161505040676,0.0315581107866352,0.0283837357753386,0.030562292810151,0.0310436505593282,0.0290040345151671,0.0313595696656608,0.0329295881379948,0.0384494183910883,0.0309357388103249,0.0284936351055171,0.0277565163886067,0.0284681097433262,0.0299283446613499,0.0309165274892964,0.0337367672460043,0.0295817596385994,0.0296353422666208,0.0293945950841384,0.0305304291631912,0.0311271673085581,0.0310625154127445,0.0354385155191958,0.029598487802869,0.0282963399442575,0.0278494776909542,0.0303082874181678,0.0260841628424043,0.0305837621503921,0.0318104071429159,0.0286914739608294,0.0278531511749099,0.0296676266498625,0.029142986268842,0.0299449595887213,0.0307018577735339,0.0313978325941258,0.0294130164233575,0.0277500477654901,0.0302286805197219,0.0324277214954377,0.0310292954516177,0.0303246350936111,0.0326749590186655,0.0309511492717155,0.0275110778477253,0.0297357275604344,0.0276636542856336,0.0296210513487346,0.030871099283093,0.0310286128727861,0.0301073451275913,0.0325137432428985,0.0282090716271688,0.0292477281039378,0.0339288399484362,0.031856638870403,0.0337122421626783,0.0348608709045755,0.0303524096560254,0.0281751822749439,0.0250687899938046,0.0265848916456841,0.0284840141408665,0.0279042058487833,0.0273238760908737,0.0296232574881831,0.0291420481713711,0.0317686620254036,0.0312084604517956,0.029525316529891,0.0309928170348885,0.0319185428980816,0.0295963848229783,0.0297390459840059,0.0295095727082841,0.0294609602237419
rno04014__43,0.0241417825939476,0.0167546602211739,0.0206647856379239,0.0265314799128823,0.0242088070696632,0.0212633234377006,0.0211574267597918,0.0254458447346878,0.0215493865683413,0.0261281832991661,0.0258768093133457,0.0270976261485758,0.0278750113377442,0.0264447886162271,0.0223675774951677,0.0259361572109016,0.0250445519866936,0.0251368187651165,0.0206960440711248,0.023366834274225,0.0229028571805012,0.0264589270040211,0.022747868488711,0.0215288543410867,0.0213063251031269,0.022060496926471,0.020522933620956,0.0242842326946612,0.0226236072932798,0.0204625551749041,0.0218104034933792,0.0229139888611244,0.0210755969380466,0.023028395870737,0.0233435930759241,0.0276663415369284,0.0228787406612995,0.0212179394584594,0.0203939134334695,0.0201641494953583,0.0215996879870466,0.0232212122166558,0.0234751237682892,0.0219499929385565,0.0213651368596029,0.0213423771216655,0.0230024385752505,0.0237622016249535,0.0220269585195616,0.0251489247184182,0.0215978247472809,0.0209730349836245,0.0211015162643637,0.0215175194590649,0.0180541810912438,0.0222237499280877,0.0226837874654629,0.0211487170484401,0.0193740882202549,0.0214923047116677,0.0216907358696527,0.0219180668178218,0.0232597004494125,0.0232482558826924,0.0206596689278763,0.0202896047944076,0.0227910844350872,0.0247787391266593,0.023805519036205,0.0230847197885912,0.0234834669465334,0.0228431040713971,0.0210785894768722,0.0229919319491788,0.0209714484681845,0.0225499367305279,0.0232066476614791,0.0232290386331856,0.0221926263550268,0.0239831329625726,0.0208518750667145,0.0211671732776756,0.0240691382896129,0.0230427306758891,0.0248943566263039,0.0259225459691733,0.0230443978968417,0.0215255021198988,0.0181432434090743,0.019441855900252,0.0206140847919798,0.0204053627038097,0.0200422851054209,0.0217747406787061,0.0220254802056845,0.023703460988565,0.022489949867193,0.0223285909077367,0.0234974901763745,0.0240743038755225,0.0211860304350119,0.0224468981747081,0.0221515705566917,0.0228802440844595
rno04014__44,0.0300362927208985,0.0204428540597168,0.024390437570728,0.0332498586277495,0.0300607336017461,0.0275971899657052,0.0274427246198468,0.0325541468610218,0.0282145526691887,0.0322925967946706,0.0322402116057951,0.0328346684949322,0.0345783618258888,0.0328534654083602,0.0276977342286489,0.0319284264288223,0.0322481401879245,0.0309821882392098,0.0276781655979702,0.0298195167333613,0.0290324613198672,0.0345633932000801,0.0294565543557717,0.0277282078809188,0.0269209979898867,0.0273553959470472,0.0285071870656143,0.0326357599610194,0.0309652817096777,0.0257720322418806,0.0277749135857721,0.0288059975904092,0.0274654684028453,0.0301426301562834,0.030231680598719,0.0366535677707421,0.0304074870787556,0.026315805148721,0.0259522511621205,0.0254918828328118,0.0315413664547713,0.0303934335285966,0.029796265953488,0.0270972096560516,0.0270397389693329,0.0269831650298523,0.0290222039223821,0.0297132052791433,0.0310148943689457,0.0325465210915341,0.028846603278652,0.0264269501470957,0.0260852870101536,0.0276237096293002,0.0244019080446312,0.0290832374512755,0.0289805927501195,0.0265314512853392,0.0253321212638047,0.0283281546365316,0.0274929912441394,0.0279865724563443,0.0293403302882143,0.0309280073762345,0.0277745743630511,0.0284503826904033,0.0287638181814689,0.0312174017082663,0.0301354063229608,0.0285789881150193,0.0299414761401715,0.0282599750611013,0.0259873912183291,0.0281654205367779,0.0258011346722047,0.0281240282563623,0.0290100127019206,0.0291502552316709,0.0287510133392457,0.0322808252843575,0.0261804967443783,0.0264655650883421,0.032732918727065,0.0324474006598077,0.0338075742356986,0.0357637217846105,0.0302317541682563,0.0269027233528307,0.0237465296681031,0.0242193275736497,0.0264534108841434,0.0260351107054775,0.0271211027761687,0.0296966134713202,0.0291102911231022,0.0292383250390168,0.0325221933750055,0.0273292776044122,0.0282097160063749,0.0290434484163487,0.0278411107964115,0.0279484196460026,0.027060854481968,0.0272142936353976
rno04014__33,0.289160826583264,0.272423345785467,0.278786176321547,0.282430866974779,0.2803407929619,0.289727583118464,0.281016841211267,0.280369875647816,0.279646623133976,0.279051461181786,0.277543813710461,0.277436147208676,0.277101296899894,0.28057481751921,0.285321088096327,0.292693992163403,0.286855781579669,0.278445219168685,0.284860181173911,0.264929528910955,0.282585946162947,0.310059440897852,0.256323395970796,0.282376241971922,0.268023232275006,0.257969355268183,0.279226252309536,0.291448882585177,0.302939235863703,0.280912055923545,0.26511786337545,0.266082970353459,0.267416830370989,0.27267095068047,0.28015062188533,0.312005440347596,0.263529778620926,0.282176442298758,0.254599098772212,0.266761721308845,0.295520010650559,0.278601317499399,0.299770958316187,0.271657758093646,0.283715670166261,0.273855077385147,0.283050218823723,0.278918318571703,0.294623725377144,0.295841899296849,0.270068262279122,0.279951143850516,0.26205469191001,0.264672612088633,0.290140946602824,0.274953834578883,0.287117834713397,0.273629662413934,0.275266616830988,0.296822008209405,0.273239543097323,0.27658086066469,0.272436019456229,0.308075054988044,0.279131580572782,0.323994618381839,0.28159135309877,0.283977156761712,0.278575154574788,0.278610057054787,0.274488094861472,0.275246213085914,0.280195558102845,0.286872591244459,0.263898940386619,0.266883510254697,0.261827946497295,0.270855856862472,0.276698120128012,0.28659057074939,0.274052327204502,0.276362630238115,0.307548948484609,0.295190253873897,0.306050618288588,0.303780200361631,0.316641649706231,0.3050763458981,0.314438006373904,0.283272150520774,0.285521337718377,0.276051261123096,0.341124980154789,0.320524506776009,0.323595286763133,0.278114652535555,0.307203033496444,0.25844018793717,0.275083995936712,0.267592665598339,0.284387971865446,0.26632108381787,0.261953666233642,0.262856828434818
rno04014__35,0.0246370826312853,0.0174234643134971,0.0206943301413334,0.0256920149145439,0.0235314963736182,0.0213101340227728,0.0218261895135937,0.0247724031708374,0.0222058424409724,0.0257570360026163,0.0259364029240112,0.0271296184549139,0.0268764734131264,0.0249575959395053,0.0228243042466341,0.0249342899546522,0.0252581191853636,0.0247262819985793,0.0211860411893308,0.0228901753974641,0.0247284527191228,0.0266209131388206,0.0243035082041787,0.0229046984297037,0.0237125683379236,0.02401125548152,0.0245155505811911,0.0269920784770901,0.0270909642007735,0.0210618885422984,0.0229388175627859,0.0243550715000385,0.0219744318679746,0.023592995157136,0.0248844844680119,0.0283517745075434,0.0248235293394932,0.0218973753748656,0.0228080146989456,0.0217194079360053,0.0261626339801832,0.0258327851456992,0.0264745838774155,0.0209184891992392,0.0220785829252177,0.0224550565805645,0.0235641060293902,0.0229075037917963,0.0247057590016102,0.0251448378021329,0.0262244501150511,0.0216325650558316,0.023793439145945,0.0229535859963706,0.0219067957801285,0.0242163310665853,0.0262861432182741,0.0217088391613035,0.0205045852615764,0.0231100533744284,0.0222652798724285,0.0229497052424634,0.022954893889423,0.0235728652369649,0.0237696399969769,0.0222368824199138,0.0232378367467795,0.0239263731415664,0.0238649721992988,0.0228218280134283,0.0239524049114298,0.0223449428314704,0.0216416850632499,0.0233399048802063,0.0210347964249143,0.022439714496792,0.0234779926604949,0.022775601469805,0.0227459167410014,0.0262169691339519,0.0212082917264255,0.0223707665644581,0.0265248524348239,0.0239933475040792,0.026902456708059,0.0261761348008391,0.0226308440715436,0.0208618769465759,0.0184786928806541,0.0193014227920192,0.0228787195176992,0.0215162503254296,0.0237084246848871,0.0241566710415285,0.0246503534452751,0.0239048522208019,0.0246296760779542,0.0210631752311719,0.0227245478894515,0.0237329433614988,0.0223313432796856,0.0224571486825457,0.0223438035600786,0.0217290578219129
rno04014__37,0.166121126677805,0.146230479271834,0.153302157467767,0.164848546690313,0.157344906429436,0.157164340040376,0.169436209698634,0.158687925948437,0.159985727758106,0.162698157035864,0.167958309282245,0.164989221266738,0.161763380437342,0.163050647821036,0.161605821038801,0.155420157205355,0.160499360430553,0.16491329369116,0.154371015089064,0.138102788194801,0.152875597067908,0.153270501236996,0.16073525856812,0.148837658715022,0.163816037376898,0.151286818045697,0.152361801226009,0.14924089891706,0.150267963257415,0.133245872001841,0.149641665123629,0.145870927895805,0.154378874365579,0.136953109329186,0.143756050872557,0.155837667659537,0.172091004320615,0.140623658433601,0.168694246538134,0.154250352900338,0.145575586986801,0.14973244965461,0.14345798557419,0.133839695281168,0.158699516605046,0.148119629671113,0.162914767584725,0.156901352926467,0.156199282727798,0.150250694281223,0.168332506457864,0.158452831697161,0.166954113760579,0.135937641643042,0.142892262134179,0.151141415500826,0.138130007504902,0.149443220207142,0.155291242489308,0.124547751333267,0.155496118129473,0.146597590515501,0.166480614492215,0.142252448496498,0.153094163989123,0.159207557757373,0.163837729226524,0.158443683542266,0.151022646954927,0.159514384606373,0.145816348247321,0.158923547613412,0.151092473250029,0.149159879681931,0.165179487882175,0.150022620972906,0.142721171973999,0.14840729403881,0.165330449371302,0.155095884140904,0.144279651435099,0.160974543283638,0.148283647931601,0.160498257475646,0.151749728251788,0.158497611251076,0.145603704264928,0.139907560885053,0.139647260317223,0.163788234633611,0.143984690695188,0.140524333036875,0.128073426728131,0.15246431595831,0.153385453021663,0.142236912707137,0.138191832946206,0.137570800709055,0.147663089447171,0.145585799288294,0.143541928328172,0.146333990066443,0.132388085599268,0.147961335997
rno04014__97,0.126538274091875,0.106095331397353,0.112811996858398,0.130547702381767,0.124093954771422,0.118378839315133,0.121221440786609,0.131202280477762,0.123407409349502,0.130652590527493,0.131004794055826,0.134295901160675,0.133519887128553,0.129877590430229,0.121985493295531,0.130522217281168,0.129242424755219,0.127387841788137,0.118949126472022,0.124119272992251,0.12451149804688,0.139484507107883,0.123111546102934,0.123228453016068,0.120780171109645,0.125016947389384,0.121558280957382,0.132177198179603,0.128503728724411,0.117008126676981,0.116303395017182,0.123860854727897,0.11833636477515,0.123876629557629,0.127591778284514,0.143569021601392,0.12580799200519,0.118528597841719,0.120306404396831,0.119460501714527,0.13006692310279,0.12720439874888,0.130899560173766,0.117715796598036,0.115724883233495,0.119742513645541,0.124356539821724,0.124997457035333,0.125313182911853,0.137294725931468,0.127313220597378,0.118273746026116,0.121134647191395,0.123565292552702,0.119191134246222,0.130026973678056,0.126552997365465,0.118544882311034,0.112577796892052,0.122684319018264,0.120832466815908,0.122113496508394,0.123021447630467,0.117036457631543,0.121365149963813,0.116827401199391,0.124745642800557,0.127896100329692,0.126116375532845,0.120851576415047,0.125506627607243,0.120651279121035,0.116900743388333,0.122749759661207,0.114878617269707,0.120076596749279,0.123611768988957,0.12384791114296,0.127742995815649,0.135499064567427,0.118932668625688,0.122587359846017,0.133884738415807,0.127777081443097,0.133459415305177,0.131915205674835,0.125168273376644,0.11835842286528,0.110489078490912,0.112720836441534,0.120857503988178,0.1182448583677,0.125392970357132,0.130799807023786,0.132357713957544,0.123871634860996,0.122272782208866,0.117257602817463,0.122333805405915,0.126136106798222,0.11997023667248,0.119112130022769,0.120919303288687,0.118638151989642
rno04014__54,0.14730587344687,0.120453219283712,0.128839016643852,0.151349289825949,0.143965325423331,0.136203064400575,0.140096314237781,0.152285709985276,0.142248937196089,0.153539911285052,0.151982421144964,0.157674951959527,0.157971367819293,0.15298153887476,0.141196310932725,0.1524791767958,0.151395149009433,0.149866341838553,0.135951459394547,0.142673051541693,0.145961740074749,0.173388426188269,0.14577481403378,0.142031951844811,0.141751370855316,0.146765133185525,0.138979471317705,0.15436911336062,0.148678808391925,0.134091414699051,0.132090586178494,0.142152239813281,0.135293796592831,0.143949238826673,0.14817382782884,0.178882456750637,0.147783037780607,0.136176039996162,0.141469696071555,0.13830273900229,0.150568799050969,0.144926783795922,0.152000818131571,0.134418249111113,0.131938447244575,0.138125177336366,0.143945487387575,0.146798709582187,0.150211768563274,0.170813197176413,0.149102183926814,0.136238934880454,0.141325888056347,0.142666422317801,0.137174023464649,0.149740723158869,0.144173279059609,0.135376693233104,0.126866491422186,0.14109983181781,0.139923405074958,0.141365463963899,0.141809184126261,0.132112331633198,0.139320127216873,0.133205117937464,0.144835645512092,0.149983167820767,0.146832795965855,0.139573662302894,0.146209752662356,0.139844581514204,0.134029255704801,0.141310200017147,0.131314846379911,0.140357574945911,0.142143315685009,0.143718045781829,0.152731020098902,0.163598318766719,0.138685680777471,0.14486874425667,0.161294221081164,0.152009628951717,0.159153309545401,0.157679961087548,0.144015617195245,0.135192100222167,0.124603709448565,0.128835801040229,0.137975201669589,0.135097995801073,0.147760264160999,0.156824302003577,0.159969961048109,0.143503955325578,0.143519821657933,0.134265906096026,0.1439468293441,0.147765523709523,0.140078913552533,0.136834124744479,0.13936006435899,0.136194920721104
rno04014__38,0.109266962798141,0.0858926224372922,0.0893350621334146,0.115964798282749,0.105695282808289,0.101648971803467,0.107619462850509,0.118285700019713,0.104274469063491,0.124511125007806,0.123590952018764,0.125824323930815,0.128229283692715,0.122465922065681,0.106530836284492,0.120420551028511,0.121221607484416,0.119083962221732,0.0998335077044849,0.102847561313717,0.10435175644639,0.130023134037935,0.104998344886066,0.102784526670775,0.098966927674348,0.106447149322131,0.10260456939401,0.114272496940157,0.112408753551098,0.0915626671333333,0.0907115865190377,0.107273487654374,0.100190291660986,0.106500961942275,0.11420801030618,0.139090130229175,0.108064334229836,0.098745544419791,0.0981698988094863,0.0940380996205492,0.117669906893369,0.111037108486431,0.11118722671337,0.0914770319159922,0.0874043548973442,0.100422778545546,0.109605524205644,0.109885069118205,0.113524837036187,0.134156911473073,0.102146506885843,0.0995626034066323,0.0988722623526604,0.100020403548069,0.0991887512405852,0.109208247216358,0.102556858834937,0.0918374339640595,0.0839554051112241,0.0955327647441388,0.106306062937335,0.109451651813048,0.107370550379937,0.0921015845072624,0.0955010579993578,0.0929255705550584,0.110621921848111,0.119553158789658,0.114375599708188,0.104786849520566,0.107647596919863,0.106505336133733,0.0934506083460544,0.0980186327512693,0.0958300076363209,0.101575516540544,0.0994464287228057,0.103304665805624,0.109440845052154,0.1211949166957,0.0998056744830994,0.104793559693717,0.125353410422363,0.106737372722978,0.115232255061205,0.117655656318959,0.109072693242894,0.100279132887117,0.0904454653355035,0.0878961659680458,0.0935823323403905,0.0974320060712343,0.111353441853645,0.112103832754088,0.120588594163182,0.107004219668751,0.101501966104098,0.0965883741908185,0.101339087948738,0.104643760561019,0.0991306874600637,0.0966091868228489,0.0980934720710843,0.0976178882222283
