,RNAseq1,RNAseq2,RNAseq3,RNAseq4,RNAseq5,RNAseq6,RNAseq8,RNAseq10,RNAseq12,RNAseq13,RNAseq14,RNAseq15,RNAseq16,RNAseq17,RNAseq18,RNAseq19,RNAseq20,RNAseq21,RNAseq22,RNAseq23,RNAseq24,RNAseq25,RNAseq26,RNAseq27,RNAseq28,RNAseq29,RNAseq30,RNAseq31,RNAseq32,RNAseq34,RNAseq35,RNAseq36,RNAseq38,RNAseq39,RNAseq40,RNAseq41,RNAseq42,RNAseq43,RNAseq44,RNAseq45,RNAseq46,RNAseq47,RNAseq48,RNAseq50,RNAseq51,RNAseq52,RNAseq54,RNAseq55,RNAseq56,RNAseq57,RNAseq58,RNAseq59,RNAseq60,RNAseq61,RNAseq62,RNAseq63,RNAseq64,RNAseq66,RNAseq67,RNAseq68,RNAseq70,RNAseq71,RNAseq72,RNAseq73,RNAseq74,RNAseq75,RNAseq76,RNAseq77,RNAseq78,RNAseq79,RNAseq80,RNAseq81,RNAseq82,RNAseq83,RNAseq84,RNAseq85,RNAseq86,RNAseq87,RNAseq88,RNAseq89,RNAseq90,RNAseq91,RNAseq92,RNAseq93,RNAseq94,RNAseq95,RNAseq97,RNAseq99,RNAseq101,RNAseq102,RNAseq103,RNAseq104,RNAseq105,RNAseq106,RNAseq107,RNAseq108,RNAseq109,RNAseq110,RNAseq111,RNAseq112,RNAseq113,RNAseq114,RNAseq115,RNAseq116
mod_1,0.000311670271008146,2.33753614871657e-05,0.000661162076521782,0.00248366465409378,0.000615290098232635,0.000187382796071389,0.000605014194069109,0.000215788663919358,1.08708087703246e-05,0.00244512259070723,0.00585990883566823,0.00281534660321703,0.00476790502147861,0.00310332674383607,4.7525951553995e-05,0.00518196274995247,0.00282268645520578,0.00366252017475965,0.000401825142838486,0.00363144879668287,0.0252858881059776,0.0805473418934331,0.00587391590570385,0.000912835251911381,0.0126720831240334,0.0125011697372214,0.00131839691098817,0.00118334758855343,0.000780748346701943,0.00936388592455351,0.00602405543201751,0.00275014646631011,0.000283495181410354,0.00119899278953473,0.013211169925293,0.107477371020494,0.00499483665615569,0.00103186472766648,0.0132383267546559,0.00621481046401784,0.00114563808867951,0.00242573070749585,0.00580894384310326,0.0030406066307474,0.00297430460428527,0.0022139693280282,0.00174992637152821,0.00395299654284503,0.0195628704607284,0.0634104872358072,0.0048183944265271,0.000923464175900501,0.00964966542974355,0.00877602152360712,0.000484856311142035,0.00133803697718105,0.00412788069858522,0.00313348048420725,0.00257832579889855,0.0025679612869226,0.000455158246648213,0.000749672073863672,0.00233821469722878,0.00184434230336794,0.000567373333898225,0.00347357307557494,0.00066134863559475,0.000687810767879715,0.000702543836350489,0.00639113402846309,0.0129486574435073,0.00448693794900168,0.00106841473829539,0.00485715358132044,0.00203403081729725,0.00118778802034458,0.000353382957025472,0.000608322952723284,0.00584196592861319,0.00223294893840686,0.00216721854252089,0.00182377947401346,0.00153167209266619,0.0110893486615228,0.00548628510643812,0.0048691040431198,4.92616947234126e-09,0,0,0,7.24048119400966e-05,4.69019917983537e-05,0.0108818538983619,0.0160310367408311,0.0331617766090295,0.00256551267342209,0.00736668455413614,0.00264953607372637,0.0148625663144145,0.013370484126119,0.0206923479243921,0.00211614947562666,0.00249933574127015,0.00343689053415208
mod_2,0.00971993009467642,0.0226520799510057,0.0221703545399507,0.0211052222436959,0.0171950316538335,0.0181988799719822,0.0299831422276305,0.00411205178766205,0.00156561202989247,0.0311953330311451,0.0386955764198245,0.0250563523758743,0.0345935809658741,0.0304392100042952,0.0102737486474153,0.0410058968326083,0.0332299436662819,0.0363472203760466,0.0192777448761564,0.0336683855606227,0.06830845611014,0.138452729504043,0.0353678771802446,0.0238754779058938,0.0420470542063914,0.0405907430369367,0.0198137375734898,0.0433839307883996,0.0335924809127284,0.0538593266131061,0.0374335575879127,0.0246367801082655,0.0232107388920917,0.0280596995203317,0.0508764621276759,0.142237697072327,0.0363058637172284,0.0174336220833782,0.0301620770854032,0.0339924673356722,0.023747669847051,0.027560750891537,0.0457555775049621,0.0358428591502179,0.0387216224514254,0.0219263960150001,0.0264124928845341,0.0306259887412652,0.0742478819807532,0.124819919353597,0.0346785141313404,0.0249384938246771,0.0390255664999097,0.0392192685738249,0.0141585067702585,0.0338585406204381,0.046137822026972,0.0434458487443642,0.0400289848823313,0.0281890777333277,0.0299250658642517,0.0214531782350894,0.0329483997194131,0.0385001015747978,0.0184815402413929,0.035427247086337,0.0319547927643343,0.026644141143412,0.0179533599519454,0.0308876392681123,0.0637895674119318,0.0287764888656877,0.0136999936010805,0.0247646244532721,0.0165481629690331,0.0155803076989554,0.0115882090374833,0.0128258620176945,0.0382821148114579,0.0379184331771727,0.0297490529178678,0.0343149026431495,0.0440326778495198,0.0658541965389062,0.043045499234254,0.0479250014484908,0.0188741686727854,0.0239129503825134,0.0152507701351201,0,0.0109681139130972,0.0128283836368883,0.0380315540011904,0.0424471807928061,0.0545919909888248,0.0232847697064071,0.0445832236292819,0.036339778917497,0.050938844375051,0.054669787641977,0.0663329957226421,0.027450096826095,0.0358558236396481,0.0345320510562054
mod_3,0.000614603789134416,0.00304295601402055,0.000841736799345738,0.00319917043652684,0.00123934732730324,0.00201561732409672,0.0080782019841158,0.000230024677005836,0,0.00966336102789767,0.011545710821773,0.00475120782676552,0.0121356437185942,0.0109199989727928,0.00135736553644905,0.0125084899409511,0.0113745823744471,0.0144071368369458,0.00450991044934856,0.00760982290043294,0.0252641602494854,0.0740966500495442,0.00458532076965945,0.00499549634892904,0.00589304693061754,0.00840940386104738,0.00167117454786969,0.014351581455059,0.00929234817303304,0.0179592812732572,0.0072733805306332,0.00564503886048506,0.00653765010199514,0.00561489492750544,0.0156769248523691,0.0788685182534959,0.00659321276938735,0.0041988546939043,0.00448035904130928,0.00869655375722445,0.00521340063936904,0.00629154050668962,0.0127469934787772,0.0102323127287729,0.00683205354410182,0.00308949043514539,0.00563085545782499,0.00664726622163514,0.033632380236569,0.058867677266274,0.00305689590314184,0.00559061292955609,0.00432088993088608,0.00851734585788172,0.000168324702485234,0.00978110708214053,0.0137317038219581,0.0135686492020521,0.00430888902002313,0.00415278400909624,0.00739263731905232,0.00288898443905983,0.00794689020929762,1.76960311308871e-05,0.000280614113848165,0.00619822957112298,0.00604552645489254,0.00461248924473945,0.00357319221190566,0.00561762792834014,0.0243169682962292,0.00433147759739561,0,0.000328987320359797,0.000496511577884995,0.000760746358036135,0.000886454390756186,0.000947708537528014,0.0141045230567041,0.0164675839966247,0.00661083397020978,0.00657595917158782,0.00797970148806904,0.0227379512843007,0.0142768423695995,0.0170794798733729,0.00309235260448881,0.00347551683247799,0.000999516041705117,0,0.000308643466217506,0.000418052920154621,0.0128974759883643,0.0159428100812045,0.0220770150436503,0.00489723235120137,0.0114524035288336,0.00528882754540794,0.0158668264486971,0.0171312061622569,0.0219139301344077,0.00697869250284039,0.00837087790663621,0.00828084019655306
mod_4,0.00033064579022113,0.000834908037204328,0.000422077380641337,0.00289318403091184,0.00355489988435808,0.000215115426868259,0.00172248251542926,2.46972117404696e-05,0,0.00530653376868714,0.00912273605713906,0.014914251404403,0.00554505463616842,0.00307558134576198,2.63854844204105e-05,0.00555209599204662,0.00239209904537779,0.00696346094540801,0.00023985386896759,0.00195173060917889,0.0285742471499983,0.0173008945373577,0.000605137347014864,0.000366810149101338,0.00322178098675366,0.0024150809414864,0.000702785626334136,0.00097957264663999,0.00118189858978637,0.000634368815855577,0.000565849748525142,0.00315488788403492,0.000396888632361079,0.000681920417942053,0.0075719520276847,0.0824523245532501,0.00152694911314574,0.00179050023833187,0.00785615985447101,0.00207361268338403,0.00168021351342197,0.000516616325398253,0.00739745533312024,0.00155496515554313,4.5206663737175e-05,0.00331704688784427,0.00107091741868561,0.000793391541059373,0.0146267153926338,0.0689934195229641,6.05743680487711e-05,0.000740508933506902,0.000749891117849893,0.00139240119468575,2.67564035992159e-05,0.00168945578790529,0.00902663933799843,0.000554193423945874,5.45264708521358e-05,0.00116073303606536,0.000765028930036425,0.00137432782915245,0.0070440891591483,0,5.76961914337388e-07,0.000118068620746429,0.00153464005431702,0.0023807222177773,0.000841933508300761,0.00335449932946921,0.00906368858172719,0.00503149851454848,0.000902509122971572,0.000446928817845364,0.00492081688188163,0.00322770820266747,0.000455592950840804,0.00100003289630347,0.00155051403781886,0.00103914732556031,0.00254395159278096,0.00347579793864394,0.00750526516903727,0.0121505383041951,0.00192758263383027,0.00338413931836631,1.82765131318335e-05,7.59170611132048e-06,5.90074795265267e-06,0.000137252243211747,4.70092418257818e-05,7.01203875022528e-05,0.0129286486054167,0.0109868831055946,0.013340595309387,0.00286729543449281,0.000398624712486834,4.16818277967591e-05,0.00107886993349498,0.00168192618599299,0.00305076145929007,0.00200480602205085,0.000742244579905299,0.00297328285565388
mod_5,0.130054671728453,0.207764232024271,0.203900370247008,0.18814452039254,0.197612952994688,0.183477609773835,0.170608251134565,0.157303332100867,0.0979800605283623,0.203860767375323,0.195244675016293,0.212026646977651,0.206467906145485,0.219499030792662,0.130534084663728,0.20444842576675,0.203969694457569,0.235523492224417,0.138502840118586,0.100929217714465,0.199092428275965,0.104739881274953,0.195406104723005,0.110374664895068,0.21385100630022,0.183250784387945,0.163953980529171,0.165214454228796,0.171035752422746,0.124668041651265,0.119120709642767,0.100896902300145,0.116423688176425,0.0791939582553191,0.205911778136049,0.16994756010628,0.243729547756691,0.154522635239278,0.191609194849061,0.195427072632505,0.160758432745256,0.117320166155241,0.157539942081174,0.172026213064553,0.0851802739194483,0.14047219240017,0.128051590898266,0.0816882753787317,0.164107586856595,0.208487242531908,0.13845330767992,0.191038511983313,0.178236927448794,0.121053693739064,0.0582115697473821,0.163863044770392,0.197629395488887,0.166458446533259,0.0950646186840299,0.0975744392294456,0.195573530856124,0.18731373755274,0.166011475727374,0,0.107994922127465,0.0551323536462316,0.194433945492935,0.149576091268861,0.177472773173437,0.207371538000905,0.191977923688497,0.187712316702842,0.148302576916687,0.144227306384716,0.172330377513488,0.167946587675976,0.0958668146084707,0.0945209683734717,0.145650591305072,0.101017717287904,0.156202323914604,0.207842645295748,0.182620288590015,0.128206709060059,0.0908154290550842,0.123434477368548,0.174573672177614,0.170547915199214,0.175510308317799,0.14577105634535,0.14124013426063,0.146430889435269,0.127710219576198,0.109847539418,0.0912126294113317,0.175464640893934,0.162687040624567,0.22647048667364,0.192448410949737,0.175504453733772,0.25,0.203384671054108,0.157801258748924,0.189314199172206
mod_6,9.80933028639597e-10,0,1.73936400831125e-09,1.95350090532535e-07,1.39637833145513e-11,1.96992726648342e-16,1.39757283450092e-08,4.4899501640357e-10,1.58303402402291e-12,1.68213763605833e-07,3.43362380430696e-06,1.17866570295343e-06,1.97803366885512e-05,9.35436405312808e-06,9.10039584668362e-10,1.17241741264217e-05,4.17437900400944e-06,0.000104526414030238,1.07662166251885e-08,1.68439009111651e-07,5.05833402664009e-06,8.45975193174690e-09,1.72036511300777e-11,1.86998406177929e-10,2.65786995170685e-07,4.3817475914278e-06,2.76722426689793e-11,2.19175495456871e-05,9.68173404924732e-09,0.000980028596099634,5.17319531367605e-05,1.23382971298547e-05,1.00432915778012e-07,1.15555498780436e-07,2.51441490445477e-07,1.62370975001027e-09,2.02478909425804e-08,7.63298349175857e-09,2.46897169747007e-08,4.92011563071325e-05,5.96607806818527e-07,9.91806600935528e-07,2.07784875488328e-06,3.10442398135472e-06,7.52932451902944e-07,3.10181725427745e-05,3.45452581577292e-08,3.34654253875814e-12,6.87321195081823e-07,6.38644897135013e-10,1.22815715776041e-07,5.70549018801029e-09,3.31575075497679e-07,6.59936600426436e-06,0,1.43833514228478e-06,7.72958997341279e-06,6.93089339106425e-05,3.03148416374925e-07,1.27797492359892e-06,4.03430365238615e-07,1.50462682866362e-08,4.93823133502911e-07,0,1.69034752509601e-11,1.1694698221946e-05,2.41866524534716e-07,1.64070097071916e-07,1.2790642577116e-07,1.21978779648043e-06,1.4913263592705e-05,1.82794794954015e-06,1.16937854418854e-08,2.14795909907772e-10,3.19034998197523e-06,1.0212207416241e-09,7.84031600556914e-09,5.6985692736821e-08,1.54040984200645e-06,1.67781583106101e-06,6.86451441094525e-06,2.14966031171019e-07,2.79395450596553e-06,3.23190325389037e-07,5.80770582003474e-05,1.91424788780075e-05,2.05588997064948e-08,8.00061599327517e-10,9.6529072947523e-16,1.02635186047911e-11,9.2503052635633e-09,3.85899245130215e-09,3.496466008519e-09,1.66956193937535e-09,1.87863833677007e-09,0.00259538849023834,2.66754570945529e-06,4.51625963738856e-05,0.00243083215976021,0.0040267521916022,0.00104656985919547,0.000132964539053766,0.000665428960349574,0.00055808023850447
mod_7,0.095476003545896,0.0319753153512543,0.0497421269756968,0.151473045704675,0.0681542333338802,0.0573058332670972,0.105776591920375,0.137092400242077,0.117282514231278,0.197269704195194,0.168816606504182,0.225667937638007,0.316210296210592,0.336001304619145,0.0997116156067398,0.245894063444078,0.177151730119536,0.24424222476898,0.115883134572777,0.116996378594157,0.176629753232501,0.26587021316598,0.08319745002663,0.048714797053649,0.0776732481507156,0.109617417739908,0.113839171052368,0.252633835569312,0.156933955664052,0.525604946078377,0.602326321025847,0.344882000580784,0.141596456604352,0.164526992068754,0.26089655099533,0.202961635276237,0.109229882194927,0.140287408383212,0.0830470612239883,0.313855727577665,0.189656388723939,0.350658845875579,0.303589038083811,0.259295399956455,0.438185524976129,0.307172944375614,0.118228736990991,0.0923712151599727,0.198836954750561,0.143011075155277,0.060712801936208,0.135179475947347,0.0448968376521603,0.242214092967419,0.00034561292193145,0.191197523507012,0.349663123352649,0.2329996243193,0.275722212751734,0.237331705671388,0.172155155143958,0.0799912076721714,0.159319784594049,0,0.00679423554816203,0.134820414328309,0.171099698165339,0.188259828567357,0.167033171953208,0.303653763852186,0.189925250251652,0.147116890856687,0.0793282899884104,0.0458742654745083,0.126719145026527,0.081456307891737,0.0973447901021984,0.167895521833331,0.164804555561989,0.10101476656251,0.192427058679456,0.134745020299625,0.0508613469193971,0.14530684746861,0.33085654454601,0.351912805126797,0.0986847281307881,0.0872360769708049,0.0377689101257009,0.0522080173498043,0.0419566306183821,0.0565619928341908,0.0453116886370449,0.0964511909781103,0.0453396134599045,0.553020880598893,0.501876661304714,0.487566919582928,0.956588295454831,0.91162988912291,0.662872251020413,0.755766395351904,0.6732724454339,0.716735715254393
mod_8,1.89281002975278e-16,0,5.38261123561068e-15,7.05005537608508e-13,0,0,8.49671599331364e-15,0,0,1.39732094864188e-13,1.12892753540089e-10,8.57820870498237e-12,4.52326100200355e-10,1.46087686231823e-11,0,2.50098745724226e-10,1.32464259210122e-10,3.28696906141785e-08,7.37148526439935e-15,1.34522599159016e-12,9.53999703873828e-11,1.35919596893668e-16,0,0,1.8153185285006e-11,1.0992542737355e-09,0,7.38858359486402e-10,1.95530981339559e-15,5.31042625098247e-08,1.23522316179364e-10,2.88441022160384e-11,1.59931393164391e-13,2.72212913036913e-13,4.84517955205732e-13,0,4.48537112858462e-14,1.79692601000215e-16,1.85666409393011e-13,2.46396279024566e-09,5.79107766516219e-12,3.47342045936467e-13,7.64743326515806e-12,2.1226502339959e-12,2.36544406096886e-14,7.77962091953435e-10,2.46459400968017e-14,0,1.8717801636199e-12,0,8.07248448970762e-12,2.16873178810183e-16,9.05999107220317e-11,3.54573901385683e-11,0,2.26402542981567e-11,7.98413263578047e-14,5.35288243451219e-09,3.44691378897919e-14,4.1937196603357e-12,3.3875361054092e-12,7.38812746200602e-14,5.87635906549504e-12,7.35744798419091e-13,6.1556995718633e-17,7.1029954146244e-10,2.83683171173838e-13,3.42937827173088e-13,3.84049888835293e-13,6.6759728321156e-13,2.23306013577655e-09,5.28940938524595e-11,8.63146447140442e-15,5.6138621620582e-17,4.12585459061835e-10,2.71878127536374e-16,6.5715567654233e-15,8.632637652416e-14,1.28976723127038e-11,0,5.23820676711076e-10,2.40114997686124e-12,1.78893567791365e-11,6.50776192011153e-13,3.07437603442985e-09,3.41556221433293e-10,6.65197970379873e-14,9.31987384107311e-17,0,0,1.26490180685707e-13,1.56366613553116e-14,2.06656792254887e-14,8.0135180519112e-16,6.97780543935546e-15,2.01573630423948e-07,1.8641010841717e-12,9.13520179299458e-11,3.84730385951462e-08,2.34867124582904e-07,6.58396731140009e-09,2.23548731905815e-12,1.97113313006282e-09,3.16047167571908e-10
mod_9,0.0221080060773586,0.0166134433919746,0.00931119716029802,0.0290302589531977,0.0152968145732026,0.0194194573018328,0.0198588517227365,0.0388750865740429,0.0438486007647955,0.0328842428819012,0.0464124527954302,0.02592374685032,0.0328487082624945,0.0375361981451693,0.0296871751050873,0.045998025962078,0.0383938923555753,0.0299165844736947,0.0367037947585152,0.040231050862993,0.00230800928351708,0.000718506192958369,0.00910528909058111,0.0091308047736543,0.0109651206921891,0.0234244828097702,0.0333615503380943,0.0357063646367453,0.0458537287224002,0.124266748401424,0.13235237964866,0.0858008761216469,0.0171213902643205,0.0552659327781965,0.0219481238967912,0.00151479193114701,0.0144126029162285,0.027618559092114,0.014020767327557,0.0776580051843302,0.045921811880601,0.0931173660510634,0.045528483141463,0.0951594316984296,0.124757633958729,0.0830837931153279,0.0188843462290324,0.0252561792137801,0.000541433114513885,0,0.00491653593897785,0.0226995712133334,0.00917846991318988,0.0627892406350966,0.0138279523404771,0.0699562215037366,0.062650668680917,0.107086963824579,0.0971894970152403,0.0933266568499757,0.0250267916490193,0.0188331539026557,0.0236270730011449,1.61681819109804e-05,0.000230806465428177,0.0200176679287459,0.0334546802371925,0.0205739577539351,0.0310487164696127,0.0886019839580403,0.0791932601238297,0.0618387921570402,0.0298872848974174,0.0496242037272272,0.0346367292678963,0.030211690371646,0.0362599755689806,0.0331914673344939,0.0279134883601263,0.00919427077127167,0.031090393964201,0.0199349515588977,0.0179965205768893,0.000714929229365622,0.0114429729704879,0.00787639147140775,0.0318928817407881,0.032895455662042,0.0259380925597355,0.0310283007115847,0.017484868158434,0.0142969325604138,0.00467598359515909,0.00302661062817581,0,0.11320984374351,0.0756483228178557,0.141789202423892,0.167089544705589,0.161060104529265,0.127566702687391,0.130551481796897,0.150645726570332,0.138575587678118
mod_10,0.00176083811688926,0.000802390389436113,0.000638300736424139,0.00576719402813386,0.00240586477248767,0.000545545171112955,0.0021238818089447,0.00536130914496213,0.000657971699866173,0.00268318986420003,0.00429088189451164,0.00457374555271562,0.00703838982625543,0.00478799795569331,0.00142552133520316,0.00610004706502887,0.0042484360550624,0.00354487818672142,0.0035865319544701,0.00863433649621508,0.00941432966333007,0.00323603135862263,0.0223283500043751,0.00206475403285417,0.0196993477375128,0.0190448931883767,0.00222496812119596,0.00136165744366073,0.0017540691636553,0.00421996589539927,0.0137138773227199,0.0090316619006543,0.00398986791790944,0.0103997164727558,0.0128492298619244,0.00668858488787111,0.020646170041936,0.00230858528862301,0.0130570753200832,0.00970526233681501,0.00163409132312503,0.002320463950295,0.000950036059731541,0.00398935674442912,0.00694288042897582,0.00533433147223542,0.00215250495004512,0.0110316245594218,0.00956138410561408,0,0.0122249432636148,0.00279204318714315,0.0118415188288852,0.00911537798681586,0.00054098139641075,0.00290492962672753,0.000645074941694903,0.00362191492630936,0.00483577904441114,0.00256851205103863,0.00176720851265224,0.00334471695569541,0.00233072821914586,0,8.04535743735373e-05,0.0021064869505174,0.00413859350176607,0.00550574619839949,0.00285639501489102,0.0132727867900907,0.015762887575441,0.0155377917203677,0.00295882585324199,0.00703231243366346,0.00397445008942982,0.00526313765490507,0.00201007657041834,0.0049464932912212,0.00622997101226525,0.00342666873863953,0.00991511768212469,0.0134134387682725,0.0144758388008349,0.00851820223923865,0.00444101986217576,0.0117690748995595,0.00305752134699241,0.00173512136459924,0.000288000827978577,0.00349277616164172,0.00328440067865172,0.0014686143528372,0.00145944805185575,0.00300577091191626,0.00262889567206063,0.00196655228844844,0.000296365628714535,0.00127935939618356,0.00591486206635528,0.00468058600831014,0.00298685761140899,0.00184096000818516,0.00210658512757364,0.0014758596695729
